component_id,cost_version_id,component,classification,amount_cents,required,quality,included_in_component_id,source_ref,synthetic
CC-001,CV-PIL-NEGRO-1,COMPRA_PROVEEDOR,INVENTARIO,820000,1,documented,,SYN-DOC-01,1
CC-002,CV-PIL-NEGRO-1,FLETE_ENTRADA,INVENTARIO,80000,1,documented,,SYN-DOC-02,1
CC-003,CV-PIL-NEGRO-1,EMPAQUE_PRODUCTO,VARIABLE_VENTA,90000,1,estimate,,SYN-EST-01,1
CC-004,CV-PIL-NEGRO-1,OTRO_VARIABLE,VARIABLE_VENTA,50000,1,estimate,,SYN-EST-02,1
CC-005,CV-PIL-LILA-1,COMPRA_PROVEEDOR,INVENTARIO,,1,missing,,,1
CC-006,CV-PIL-LILA-1,FLETE_ENTRADA,INVENTARIO,80000,1,estimate,,SYN-EST-03,1
CC-007,CV-PIL-LILA-1,EMPAQUE_PRODUCTO,VARIABLE_VENTA,90000,1,estimate,,SYN-EST-04,1
CC-008,CV-PIL-LILA-1,OTRO_VARIABLE,VARIABLE_VENTA,50000,1,estimate,,SYN-EST-05,1
CC-009,CV-TOP-NEGRO-S-1,COMPRA_PROVEEDOR,INVENTARIO,660000,1,documented,,SYN-DOC-03,1
CC-010,CV-TOP-NEGRO-S-1,FLETE_ENTRADA,INVENTARIO,40000,1,documented,,SYN-DOC-04,1
CC-011,CV-TOP-NEGRO-S-1,EMPAQUE_PRODUCTO,VARIABLE_VENTA,36000,1,estimate,,SYN-EST-06,1
CC-012,CV-TOP-NEGRO-S-1,OTRO_VARIABLE,VARIABLE_VENTA,24000,1,estimate,,SYN-EST-07,1
