id,variant_id,date,kind,quantity,reference_id
mov-opening-var-sock-black,var-sock-black,2026-06-24,opening,24,opening-var-sock-black
mov-opening-var-sock-ivory,var-sock-ivory,2026-06-24,opening,24,opening-var-sock-ivory
mov-opening-var-sock-rose,var-sock-rose,2026-06-24,opening,24,opening-var-sock-rose
mov-opening-var-sock-sage,var-sock-sage,2026-06-24,opening,24,opening-var-sock-sage
mov-opening-var-sock-lilac,var-sock-lilac,2026-06-24,opening,24,opening-var-sock-lilac
mov-opening-var-legging-black,var-legging-black,2026-06-24,opening,12,opening-var-legging-black
mov-opening-var-legging-navy,var-legging-navy,2026-06-24,opening,12,opening-var-legging-navy
mov-opening-var-top-black,var-top-black,2026-06-24,opening,12,opening-var-top-black
mov-opening-var-top-sand,var-top-sand,2026-06-24,opening,12,opening-var-top-sand
mov-opening-var-short-black,var-short-black,2026-06-24,opening,12,opening-var-short-black
mov-opening-var-short-coral,var-short-coral,2026-06-24,opening,12,opening-var-short-coral
mov-opening-var-wrap-sand,var-wrap-sand,2026-06-24,opening,0,opening-var-wrap-sand
mov-po-001,var-sock-rose,2026-07-05,receipt,40,po-001
mov-po-002,var-legging-black,2026-08-16,receipt,18,po-002
mov-sale-item-001,var-sock-rose,2026-07-02,sale,-2,item-001
mov-sale-item-002,var-legging-black,2026-07-02,sale,-1,item-002
mov-sale-item-003,var-sock-black,2026-07-19,sale,-1,item-003
mov-sale-item-004,var-legging-navy,2026-07-19,sale,-1,item-004
mov-sale-item-005,var-sock-lilac,2026-08-05,sale,-2,item-005
mov-sale-item-006,var-short-black,2026-08-05,sale,-1,item-006
mov-sale-item-007,var-sock-sage,2026-08-21,sale,-1,item-007
mov-sale-item-008,var-legging-navy,2026-08-21,sale,-1,item-008
mov-sale-item-012,var-sock-rose,2026-09-17,sale,-1,item-012
mov-return-001,var-sock-rose,2026-07-13,return,1,return-001
