date,cash_in_cents,refund_out_cents,supplier_out_cents,expense_out_cents,net_cash_change_cents,cumulative_cash_movement_cents,cash_coverage_known
2025-09-22,74660,0,0,10092,64568,64568,1
2025-09-23,181083,0,0,0,181083,245651,1
2025-09-24,58071,0,0,8710,49361,295012,1
2025-09-27,78189,0,0,0,78189,373201,1
2025-09-28,0,17606,0,0,-17606,355595,1
2025-10-01,0,0,152600,12703,-165303,190292,1
2025-10-02,0,0,112000,0,-112000,78292,1
2025-10-03,0,0,210000,17711,-227711,-149419,1
2025-10-04,0,0,323400,0,-323400,-472819,1
2025-10-05,0,0,167100,0,-167100,-639919,1
2025-10-06,0,0,137600,0,-137600,-777519,1
2025-10-07,0,0,243100,0,-243100,-1020619,1
2025-10-08,0,0,240000,0,-240000,-1260619,1
2025-10-09,0,0,137900,0,-137900,-1398519,1
2025-10-10,0,0,133300,0,-133300,-1531819,1
2025-10-11,85349,0,193700,0,-108351,-1640170,1
2025-10-12,0,0,264900,0,-264900,-1905070,1
2025-10-13,0,0,150700,0,-150700,-2055770,1
2025-10-14,0,0,108200,0,-108200,-2163970,1
2025-10-15,0,0,227500,0,-227500,-2391470,1
2025-10-16,0,0,168900,0,-168900,-2560370,1
2025-10-17,54435,0,109600,0,-55165,-2615535,1
2025-10-18,0,0,94950,0,-94950,-2710485,1
2025-10-19,0,0,199200,0,-199200,-2909685,1
2025-10-20,0,0,273950,0,-273950,-3183635,1
2025-10-21,95576,0,137100,0,-41524,-3225159,1
2025-10-22,10924,0,135750,0,-124826,-3349985,1
2025-10-23,0,0,190400,0,-190400,-3540385,1
2025-10-24,16425,0,46150,0,-29725,-3570110,1
2025-10-25,180059,0,0,0,180059,-3390051,1
2025-10-26,64250,0,0,0,64250,-3325801,1
2025-10-27,17422,0,0,0,17422,-3308379,1
2025-10-28,28808,0,0,0,28808,-3279571,1
2025-10-29,61863,0,0,0,61863,-3217708,1
2025-10-30,44569,0,0,0,44569,-3173139,1
2025-11-01,74377,0,0,11495,62882,-3110257,1
2025-11-02,0,14300,0,0,-14300,-3124557,1
2025-11-03,91648,0,0,14707,76941,-3047616,1
2025-11-04,64715,0,0,0,64715,-2982901,1
2025-11-05,59656,0,0,0,59656,-2923245,1
2025-11-07,5719,0,0,0,5719,-2917526,1
2025-11-08,67397,0,0,0,67397,-2850129,1
2025-11-09,39311,0,0,0,39311,-2810818,1
2025-11-11,17213,0,0,0,17213,-2793605,1
2025-11-12,55801,0,0,0,55801,-2737804,1
2025-11-13,89611,0,0,0,89611,-2648193,1
2025-11-14,126638,0,0,0,126638,-2521555,1
2025-11-15,65247,0,0,0,65247,-2456308,1
2025-11-16,24078,0,0,0,24078,-2432230,1
2025-11-17,67334,0,0,0,67334,-2364896,1
2025-11-18,63889,0,0,0,63889,-2301007,1
2025-11-19,44859,0,0,0,44859,-2256148,1
2025-11-22,70213,0,0,0,70213,-2185935,1
2025-11-26,28125,11296,0,0,16829,-2169106,1
2025-11-27,160547,0,0,0,160547,-2008559,1
2025-11-29,100151,0,0,0,100151,-1908408,1
2025-12-01,0,0,0,10905,-10905,-1919313,1
2025-12-03,0,0,0,15335,-15335,-1934648,1
2025-12-04,45825,0,0,0,45825,-1888823,1
2025-12-05,206698,0,0,0,206698,-1682125,1
2025-12-09,122913,0,0,0,122913,-1559212,1
2025-12-10,126237,0,0,0,126237,-1432975,1
2025-12-11,88832,0,0,0,88832,-1344143,1
2025-12-12,128523,0,0,0,128523,-1215620,1
2025-12-13,240327,0,0,0,240327,-975293,1
2025-12-14,83883,0,0,0,83883,-891410,1
2025-12-15,11317,11510,0,0,-193,-891603,1
2025-12-16,55475,0,0,0,55475,-836128,1
2025-12-17,11083,0,0,0,11083,-825045,1
2025-12-18,28563,21751,0,0,6812,-818233,1
2025-12-19,26188,0,0,0,26188,-792045,1
2025-12-20,101890,0,0,0,101890,-690155,1
2025-12-21,92594,9602,0,0,82992,-607163,1
2025-12-22,67894,0,0,0,67894,-539269,1
2025-12-23,79924,0,0,0,79924,-459345,1
2025-12-24,52785,0,0,0,52785,-406560,1
2025-12-25,52786,0,0,0,52786,-353774,1
