cohort_month,cohort_customers,eligible_customers_30d,immature_customers,repeat_within_30d_customers,repeat_within_30d_rate,cohort_coverage_known
2025-09,2,2,0,0,0.0,1
2025-10,10,10,0,3,0.3,1
2025-11,16,16,0,3,0.1875,1
2025-12,21,21,0,4,0.1905,1
2026-01,40,40,0,16,0.4,1
2026-02,18,18,0,3,0.1667,1
2026-03,30,30,0,10,0.3333,1
2026-04,28,28,0,12,0.4286,1
2026-05,44,44,0,14,0.3182,1
2026-06,43,43,0,17,0.3953,1
2026-07,42,42,0,19,0.4524,1
2026-08,36,24,12,13,0.5417,1
2026-09,27,0,27,,,1
