month,net_revenue_cents,cogs_cents,gross_profit_cents,variable_expense_cents,expense_accrual_cents,contribution_after_variable_cents,operating_after_all_expenses_cents,net_cash_change_cents,revenue_coverage_known,cost_coverage_known,expense_coverage_known,cash_coverage_known
2025-09,209903,81600,128303,10092,27513,118211,100790,355595,1,1,1,1
2025-10,507018,200200,306818,12703,30414,294115,276404,-3528734,1,1,1,1
2025-11,913128,355200,557928,11495,26202,546433,531726,1264731,1,1,1,1
2025-12,1472092,576700,895392,10905,26240,884487,869152,2043298,1,1,1,1
2026-01,2878729,1125200,1753529,10181,27762,1743348,1725767,3172270,1,1,1,1
2026-02,1595806,632600,963206,13807,30800,949399,932406,2291592,1,1,1,1
2026-03,2893397,1146200,1747197,9433,27266,1737764,1719931,3673491,1,1,1,1
2026-04,2695926,1062300,1633626,11935,30280,1621691,1603346,3970357,1,1,1,1
2026-05,3895510,1525900,2369610,9581,25920,2360029,2343690,4827108,1,1,1,1
2026-06,4946917,1935500,3011417,12389,30390,2999028,2981027,6694466,1,1,1,1
2026-07,5634455,2221300,3413155,10594,24632,3402561,3388523,6932946,1,1,1,1
2026-08,4988770,1952400,3036370,13927,27396,3022443,3008974,7930826,1,1,1,1
2026-09,4455806,1744700,2711106,10484,26538,2700622,2684568,4579725,1,1,1,1
