variant_id,product_id,product_name,category,lifecycle,color,size,cost_cents,ledger_on_hand_qty,reserved_qty,available_qty,in_transit_qty,count_date,counted_qty,count_discrepancy_qty,inventory_value_cents,trailing_30d_net_sold_qty,cover_days,stock_status,inventory_coverage_known,last_inbound_date,days_since_last_inbound
var-legging-black-l,prod-leggings,Flow Leggings,Sportswear,launched,Black,L,11200,36,8,28,4,2026-09-21,36,0,403200,13,64.62,AVAILABLE,1,2025-10-22,334
var-legging-black-m,prod-leggings,Flow Leggings,Sportswear,launched,Black,M,11200,43,15,28,6,2026-09-21,43,0,481600,4,210.0,AVAILABLE,1,2026-01-10,254
var-legging-black-s,prod-leggings,Flow Leggings,Sportswear,launched,Black,S,11200,31,3,28,4,2026-09-21,31,0,347200,1,840.0,AVAILABLE,1,2026-06-02,111
var-legging-navy-l,prod-leggings,Flow Leggings,Sportswear,launched,Navy,L,11200,37,9,28,4,2026-09-21,37,0,414400,2,420.0,AVAILABLE,1,2025-12-30,265
var-legging-navy-m,prod-leggings,Flow Leggings,Sportswear,launched,Navy,M,11200,37,9,28,6,2026-09-21,37,0,414400,9,93.33,AVAILABLE,1,2025-10-21,335
var-legging-navy-s,prod-leggings,Flow Leggings,Sportswear,launched,Navy,S,11200,42,14,28,4,2026-09-21,42,0,470400,7,120.0,AVAILABLE,1,2025-10-20,336
var-legging-olive-l,prod-leggings,Flow Leggings,Sportswear,launched,Olive,L,11200,33,5,28,6,2026-09-21,33,0,369600,6,140.0,AVAILABLE,1,2025-10-02,354
var-legging-olive-m,prod-leggings,Flow Leggings,Sportswear,launched,Olive,M,11200,37,9,28,4,2026-09-21,37,0,414400,6,140.0,AVAILABLE,1,2025-10-04,352
var-legging-olive-s,prod-leggings,Flow Leggings,Sportswear,launched,Olive,S,11200,34,6,28,4,2026-09-21,34,0,380800,4,210.0,AVAILABLE,1,2025-09-30,356
var-short-black-l,prod-shorts,Move Biker Shorts,Sportswear,clearance,Black,L,7100,31,3,28,4,2026-09-21,31,0,220100,7,120.0,AVAILABLE,1,2025-10-14,342
var-short-black-m,prod-shorts,Move Biker Shorts,Sportswear,clearance,Black,M,7100,37,9,28,7,2026-09-21,37,0,262700,9,93.33,AVAILABLE,1,2026-08-25,27
