purchase_order_id,ordered_date,supplier_id,variant_id,ordered_qty,received_qty,open_qty,unit_cost_cents,ordered_value_cents,paid_cents,receipt_event_qty,supplier_payment_event_cents,reconciled,coverage_known
po-00001,2025-09-25,sup-grip,var-sock-black-s,22,14,8,4200,92400,58800,14,58800,1,1
po-00024,2025-09-25,sup-move,var-legging-navy-l,15,11,4,11200,168000,123200,11,123200,1,1
po-00002,2025-09-26,sup-studio,var-sock-black-m,24,16,8,4200,100800,67200,16,67200,1,1
po-00025,2025-09-26,sup-grip,var-legging-olive-s,12,8,4,11200,134400,89600,8,89600,1,1
po-00003,2025-09-27,sup-move,var-sock-black-l,28,19,9,4200,117600,79800,19,79800,1,1
po-00026,2025-09-27,sup-studio,var-legging-olive-m,13,9,4,11200,145600,100800,9,100800,1,1
po-00004,2025-09-28,sup-grip,var-sock-ivory-s,43,29,14,4200,180600,121800,29,121800,1,1
po-00027,2025-09-28,sup-move,var-legging-olive-l,20,14,6,11200,224000,156800,14,156800,1,1
po-00005,2025-09-29,sup-studio,var-sock-ivory-m,32,21,11,4200,134400,88200,21,88200,1,1
po-00028,2025-09-29,sup-grip,var-top-black-s,21,15,6,8200,172200,123000,15,123000,1,1
po-00006,2025-09-30,sup-move,var-sock-ivory-l,35,23,12,4200,147000,96600,23,96600,1,1
po-00029,2025-09-30,sup-studio,var-top-black-m,15,10,5,8200,123000,82000,10,82000,1,1
po-00007,2025-10-01,sup-grip,var-sock-rose-s,32,22,10,4200,134400,92400,22,92400,1,1
po-00030,2025-10-01,sup-move,var-top-black-l,19,13,6,8200,155800,106600,13,106600,1,1
po-00008,2025-10-02,sup-studio,var-sock-rose-m,32,22,10,4200,134400,92400,22,92400,1,1
po-00031,2025-10-02,sup-grip,var-top-sand-s,19,13,6,8200,155800,106600,13,106600,1,1
po-00009,2025-10-03,sup-move,var-sock-rose-l,17,11,6,4200,71400,46200,11,46200,1,1
po-00032,2025-10-03,sup-studio,var-top-sand-m,20,14,6,8200,164000,114800,14,114800,1,1
po-00010,2025-10-04,sup-grip,var-sock-sage-s,32,21,11,4200,134400,88200,21,88200,1,1
po-00033,2025-10-04,sup-move,var-top-sand-l,17,11,6,8200,139400,90200,11,90200,1,1
po-00011,2025-10-05,sup-studio,var-sock-sage-m,38,25,13,4200,159600,105000,25,105000,1,1
po-00034,2025-10-05,sup-grip,var-top-rose-s,12,8,4,8200,98400,65600,8,65600,1,1
po-00012,2025-10-06,sup-move,var-sock-sage-l,37,25,12,4200,155400,105000,25,105000,1,1
po-00035,2025-10-06,sup-studio,var-top-rose-m,20,14,6,8200,164000,114800,14,114800,1,1
po-00013,2025-10-07,sup-grip,var-sock-lilac-s,32,21,11,4200,134400,88200,21,88200,1,1
po-00036,2025-10-07,sup-move,var-top-rose-l,18,13,5,8200,147600,106600,13,106600,1,1
po-00014,2025-10-08,sup-studio,var-sock-lilac-m,29,19,10,4200,121800,79800,19,79800,1,1
po-00037,2025-10-08,sup-grip,var-short-black-s,12,8,4,7100,85200,56800,8,56800,1,1
po-00015,2025-10-09,sup-move,var-sock-lilac-l,29,20,9,4200,121800,84000,20,84000,1,1
po-00038,2025-10-09,sup-studio,var-short-black-m,21,14,7,7100,149100,99400,14,99400,1,1
po-00016,2025-10-10,sup-grip,var-sock-coral-s,37,25,12,4200,155400,105000,25,105000,1,1
po-00039,2025-10-10,sup-move,var-short-black-l,9,5,4,7100,63900,35500,5,35500,1,1
po-00017,2025-10-11,sup-studio,var-sock-coral-m,23,15,8,4200,96600,63000,15,63000,1,1
po-00040,2025-10-11,sup-grip,var-short-coral-s,15,11,4,7100,106500,78100,11,78100,1,1
po-00018,2025-10-12,sup-move,var-sock-coral-l,23,15,8,4200,96600,63000,15,63000,1,1
po-00041,2025-10-12,sup-studio,var-short-coral-m,14,9,5,7100,99400,63900,9,63900,1,1
po-00019,2025-10-13,sup-grip,var-legging-black-s,12,8,4,11200,134400,89600,8,89600,1,1
po-00042,2025-10-13,sup-move,var-short-coral-l,16,11,5,7100,113600,78100,11,78100,1,1
po-00020,2025-10-14,sup-studio,var-legging-black-m,20,14,6,11200,224000,156800,14,156800,1,1
po-00043,2025-10-14,sup-grip,var-short-navy-s,17,12,5,7100,120700,85200,12,85200,1,1
po-00021,2025-10-15,sup-move,var-legging-black-l,12,8,4,11200,134400,89600,8,89600,1,1
po-00044,2025-10-15,sup-studio,var-short-navy-m,18,13,5,7100,127800,92300,13,92300,1,1
po-00022,2025-10-16,sup-grip,var-legging-navy-s,12,8,4,11200,134400,89600,8,89600,1,1
po-00045,2025-10-16,sup-move,var-short-navy-l,20,13,7,7100,142000,92300,13,92300,1,1
po-00023,2025-10-17,sup-studio,var-legging-navy-m,19,13,6,11200,212800,145600,13,145600,1,1
po-00046,2025-10-17,sup-grip,var-wrap-sand-o-s,12,0,12,9800,117600,0,0,0,1,1
