date,gross_revenue_cents,discount_cents,credit_note_cents,net_revenue_cents,cogs_cents,gross_profit_cents,revenue_coverage_known,cost_coverage_known
2025-09-25,157400,8080,0,149320,59000,90320,1,1
2025-09-28,0,0,17606,-17606,-7100,-10506,1,1
2025-09-29,80500,2311,0,78189,29700,48489,1,1
2025-10-15,92400,7051,0,85349,33900,51449,1,1
2025-10-21,59800,5365,0,54435,22400,32035,1,1
2025-10-23,37800,2500,0,35300,14200,21100,1,1
2025-10-26,98400,5273,0,93127,36100,57027,1,1
2025-10-27,11900,976,0,10924,4200,6724,1,1
2025-10-28,138300,8169,0,130131,51300,78831,1,1
2025-10-30,80500,5592,0,74908,29700,45208,1,1
2025-10-31,23800,956,0,22844,8400,14444,1,1
2025-11-02,47600,1497,14300,31803,16800,15003,1,1
2025-11-03,92400,3263,0,89137,33900,55237,1,1
2025-11-06,79500,5123,0,74377,29000,45377,1,1
2025-11-07,131300,6929,0,124371,48400,75971,1,1
2025-11-09,11900,462,0,11438,4200,7238,1,1
2025-11-11,35700,1676,0,34024,12600,21424,1,1
2025-11-12,11900,244,0,11656,4200,7456,1,1
2025-11-13,56700,1391,0,55309,21300,34009,1,1
2025-11-17,192200,12979,0,179221,71500,107721,1,1
2025-11-19,47600,2299,0,45301,16800,28501,1,1
2025-11-20,85400,2312,0,83088,31000,52088,1,1
2025-11-21,90300,3691,0,86609,32300,54309,1,1
2025-11-26,43800,1961,11296,30543,12200,18343,1,1
2025-11-28,59500,3249,0,56251,21000,35251,1,1
2025-12-01,59500,3864,0,55636,21000,34636,1,1
2025-12-02,79500,2715,0,76785,29000,47785,1,1
2025-12-06,47600,1775,0,45825,16800,29025,1,1
2025-12-08,217700,11002,0,206698,79500,127198,1,1
2025-12-11,53700,1586,0,52114,19600,32514,1,1
2025-12-12,59500,3392,0,56108,21000,35108,1,1
2025-12-13,35700,1725,0,33975,12600,21375,1,1
2025-12-14,89500,4799,0,84701,33000,51701,1,1
2025-12-15,71400,4594,11510,55296,21000,34296,1,1
2025-12-17,89500,5617,0,83883,33000,50883,1,1
2025-12-18,156800,10597,21751,124452,47800,76652,1,1
2025-12-21,35700,2625,9602,23473,12600,10873,1,1
2025-12-22,29900,1337,0,28563,11200,17363,1,1
2025-12-23,164200,11078,0,153122,61300,91822,1,1
2025-12-24,11900,457,0,11443,4200,7243,1,1
2025-12-25,47600,2332,0,45268,16800,28468,1,1
2025-12-26,72600,3733,0,68867,26700,42167,1,1
2025-12-27,54600,3026,0,51574,19700,31874,1,1
2025-12-28,56700,2703,0,53997,21300,32697,1,1
2025-12-29,0,0,17875,-17875,0,-17875,1,1
2025-12-30,137300,9396,28335,99569,39200,60369,1,1
2025-12-31,83300,4682,0,78618,29400,49218,1,1
2026-01-01,11900,565,0,11335,4200,7135,1,1
2026-01-02,199000,13032,0,185968,73800,112168,1,1
2026-01-04,163200,9453,0,153747,60400,93347,1,1
2026-01-05,78400,4503,0,73897,28100,45797,1,1
2026-01-07,89700,5661,0,84039,33600,50439,1,1
2026-01-09,155400,11722,0,143678,58200,85478,1,1
2026-01-10,0,0,27908,-27908,-11200,-16708,1,1
2026-01-12,23800,586,0,23214,8400,14814,1,1
2026-01-13,135300,6749,0,128551,50200,78351,1,1
2026-01-14,230400,12904,0,217496,83200,134296,1,1
2026-01-15,73500,4649,0,68851,26800,42051,1,1
2026-01-16,232300,12563,0,219737,83400,136337,1,1
2026-01-17,0,0,11087,-11087,-4200,-6887,1,1
2026-01-18,71400,4877,0,66523,25200,41323,1,1
2026-01-20,224900,9061,0,215839,83800,132039,1,1
2026-01-21,197100,11044,0,186056,72800,113256,1,1
2026-01-23,59500,4070,17149,38281,21000,17281,1,1
2026-01-24,287500,12343,0,275157,105900,169257,1,1
2026-01-25,93500,4508,0,88992,34800,54192,1,1
2026-01-26,172900,9710,0,163190,63600,99590,1,1
2026-01-27,217800,12139,0,205661,80100,125561,1,1
2026-01-30,151900,9070,10610,132220,50700,81520,1,1
2026-01-31,250700,15408,0,235292,92400,142892,1,1
2026-02-01,95500,6597,0,88903,35000,53903,1,1
2026-02-02,57600,3398,0,54202,20800,33402,1,1
2026-02-05,89700,4058,0,85642,33600,52042,1,1
2026-02-06,176900,8306,0,168594,64800,103794,1,1
2026-02-08,176000,9775,0,166225,64700,101525,1,1
2026-02-11,45700,3616,0,42084,16600,25484,1,1
2026-02-12,35700,2506,11620,21574,8400,13174,1,1
2026-02-13,202800,9041,24637,169122,74400,94722,1,1
2026-02-15,37800,1299,0,36501,14200,22301,1,1
2026-02-16,197600,10171,0,187429,71500,115929,1,1
2026-02-17,56700,2680,10702,43318,21300,22018,1,1
2026-02-18,11900,346,0,11554,4200,7354,1,1
2026-02-19,23800,1576,0,22224,8400,13824,1,1
2026-02-21,120200,8013,0,112187,43500,68687,1,1
2026-02-22,61600,3522,0,58078,22600,35478,1,1
2026-02-23,101400,6489,0,94911,37200,57711,1,1
2026-02-24,113300,7899,0,105401,41400,64001,1,1
2026-02-25,59500,4065,0,55435,21000,34435,1,1
2026-02-26,79500,7078,0,72422,29000,43422,1,1
2026-03-01,71400,4733,0,66667,25200,41467,1,1
2026-03-02,35700,1885,0,33815,12600,21215,1,1
2026-03-04,214700,10522,0,204178,78600,125578,1,1
2026-03-05,155300,7860,0,147440,57400,90040,1,1
2026-03-06,254600,14359,0,240241,93600,146641,1,1
2026-03-08,131500,8667,0,122833,49000,73833,1,1
2026-03-09,97300,5042,0,92258,35200,57058,1,1
2026-03-10,59500,3013,0,56487,21000,35487,1,1
2026-03-11,42700,1818,11257,29625,15500,14125,1,1
2026-03-12,73500,3513,0,69987,26800,43187,1,1
2026-03-13,145200,8188,18501,118511,53600,64911,1,1
2026-03-15,113500,5927,0,107573,42000,65573,1,1
2026-03-17,209800,10869,10777,188154,77300,110854,1,1
