id,order_item_id,date,amount_cents,reason
credit-00001,item-000001,2025-09-28,17606,synthetic return adjustment
credit-00002,item-000033,2026-01-23,17149,synthetic return adjustment
credit-00003,item-000065,2025-12-18,11370,synthetic return adjustment
credit-00004,item-000097,2026-06-05,19963,synthetic return adjustment
credit-00005,item-000127,2026-07-10,10731,synthetic return adjustment
credit-00006,item-000160,2025-11-02,14300,synthetic return adjustment
credit-00007,item-000194,2026-05-08,27526,synthetic return adjustment
credit-00008,item-000222,2026-04-16,10487,synthetic return adjustment
credit-00009,item-000255,2026-06-02,25968,synthetic return adjustment
credit-00010,item-000289,2026-03-13,18501,synthetic return adjustment
credit-00011,item-000314,2026-07-08,21015,synthetic return adjustment
credit-00012,item-000342,2026-03-11,11257,synthetic return adjustment
credit-00013,item-000380,2026-07-04,10447,synthetic return adjustment
credit-00014,item-000413,2026-05-06,16824,synthetic return adjustment
credit-00015,item-000441,2026-07-08,11582,synthetic return adjustment
credit-00016,item-000480,2025-12-29,17875,synthetic return adjustment
credit-00017,item-000511,2026-04-26,11204,synthetic return adjustment
credit-00018,item-000546,2026-05-24,9928,synthetic return adjustment
credit-00019,item-000569,2026-07-30,17021,synthetic return adjustment
credit-00020,item-000608,2026-06-04,16854,synthetic return adjustment
credit-00021,item-000633,2025-12-18,10381,synthetic return adjustment
credit-00022,item-000659,2026-07-21,21357,synthetic return adjustment
credit-00023,item-000682,2026-02-12,11620,synthetic return adjustment
credit-00024,item-000705,2026-08-22,9769,synthetic return adjustment
credit-00025,item-000737,2026-03-19,10118,synthetic return adjustment
credit-00026,item-000774,2026-09-06,15904,synthetic return adjustment
credit-00027,item-000799,2025-11-26,11296,synthetic return adjustment
credit-00028,item-000826,2026-08-17,27953,synthetic return adjustment
credit-00029,item-000852,2026-07-06,21366,synthetic return adjustment
credit-00030,item-000879,2026-02-17,10702,synthetic return adjustment
credit-00031,item-000919,2026-01-17,11087,synthetic return adjustment
credit-00032,item-000951,2026-03-20,10626,synthetic return adjustment
credit-00033,item-000980,2026-06-23,20712,synthetic return adjustment
credit-00034,item-001005,2026-08-29,11199,synthetic return adjustment
credit-00035,item-001035,2026-06-03,9057,synthetic return adjustment
credit-00036,item-001068,2026-05-21,11499,synthetic return adjustment
credit-00037,item-001088,2026-05-05,10452,synthetic return adjustment
credit-00038,item-001112,2026-08-25,10991,synthetic return adjustment
credit-00039,item-001139,2026-06-18,10308,synthetic return adjustment
credit-00040,item-001170,2026-07-04,24803,synthetic return adjustment
credit-00041,item-001202,2026-07-07,10952,synthetic return adjustment
credit-00042,item-001234,2026-03-17,10777,synthetic return adjustment
credit-00043,item-001261,2026-01-10,27908,synthetic return adjustment
credit-00044,item-001290,2026-02-13,24637,synthetic return adjustment
credit-00045,item-001321,2026-08-25,17857,synthetic return adjustment
credit-00046,item-001348,2026-07-17,15555,synthetic return adjustment
credit-00047,item-001381,2026-08-03,8917,synthetic return adjustment
credit-00048,item-001412,2026-06-29,20061,synthetic return adjustment
credit-00049,item-001436,2026-06-12,10780,synthetic return adjustment
credit-00050,item-001463,2026-05-08,25419,synthetic return adjustment
credit-00051,item-001494,2026-01-30,10610,synthetic return adjustment
credit-00052,item-001520,2026-04-13,13806,synthetic return adjustment
credit-00053,item-001551,2026-06-07,10860,synthetic return adjustment
credit-00054,item-001579,2026-09-04,9676,synthetic return adjustment
credit-00055,item-001607,2025-12-15,11510,synthetic return adjustment
credit-00056,item-001636,2025-12-21,9602,synthetic return adjustment
credit-00057,item-001671,2025-12-30,28335,synthetic return adjustment
credit-00058,item-001699,2026-04-20,18365,synthetic return adjustment
credit-00059,item-001729,2026-09-03,11379,synthetic return adjustment
credit-00060,item-001762,2026-09-12,22190,synthetic return adjustment
credit-00061,item-001797,2026-08-26,11115,synthetic return adjustment
