id,acquired_date
cust-0001,2025-09-22
cust-0002,2025-09-22
cust-0003,2025-09-22
cust-0004,2025-09-22
cust-0005,2025-09-22
cust-0006,2026-08-15
cust-0007,2025-11-18
cust-0008,2025-10-04
cust-0009,2026-02-09
cust-0010,2026-01-25
cust-0011,2026-01-14
cust-0012,2025-12-02
cust-0013,2025-11-13
cust-0014,2026-09-03
cust-0015,2026-06-28
cust-0016,2025-11-05
cust-0017,2026-07-21
cust-0018,2026-04-26
cust-0019,2025-10-08
cust-0020,2025-10-07
cust-0021,2025-11-08
cust-0022,2026-01-11
cust-0023,2026-01-19
cust-0024,2026-06-07
cust-0025,2026-07-27
cust-0026,2025-10-05
cust-0027,2026-07-06
cust-0028,2026-01-01
cust-0029,2026-08-20
cust-0030,2026-09-16
cust-0031,2026-06-28
cust-0032,2026-04-24
cust-0033,2026-01-12
cust-0034,2026-05-09
cust-0035,2026-07-20
cust-0036,2026-02-11
cust-0037,2025-09-25
cust-0038,2025-12-12
cust-0039,2026-09-14
cust-0040,2026-04-26
cust-0041,2026-03-15
cust-0042,2026-02-11
cust-0043,2025-12-10
cust-0044,2026-01-10
cust-0045,2026-03-13
cust-0046,2025-11-13
cust-0047,2025-11-08
cust-0048,2026-04-04
cust-0049,2025-11-10
cust-0050,2026-03-24
cust-0051,2026-03-17
cust-0052,2026-07-28
cust-0053,2026-02-04
cust-0054,2025-10-14
cust-0055,2026-05-15
cust-0056,2026-06-23
cust-0057,2025-11-24
cust-0058,2026-04-03
cust-0059,2025-11-01
cust-0060,2026-07-01
cust-0061,2026-02-19
cust-0062,2026-08-09
cust-0063,2026-08-04
cust-0064,2026-03-26
cust-0065,2026-07-14
cust-0066,2025-12-29
cust-0067,2026-09-17
cust-0068,2025-10-27
cust-0069,2025-10-15
cust-0070,2026-08-26
cust-0071,2026-01-16
cust-0072,2026-02-17
cust-0073,2025-11-01
cust-0074,2026-01-19
cust-0075,2025-11-12
cust-0076,2026-04-04
cust-0077,2026-02-11
cust-0078,2026-05-12
cust-0079,2026-08-13
cust-0080,2026-03-27
cust-0081,2025-12-14
cust-0082,2026-03-30
cust-0083,2026-03-22
cust-0084,2026-01-07
cust-0085,2026-08-31
cust-0086,2026-02-05
cust-0087,2026-09-16
cust-0088,2026-09-06
cust-0089,2026-08-19
cust-0090,2025-10-28
cust-0091,2026-07-30
cust-0092,2026-08-13
cust-0093,2025-12-18
cust-0094,2026-06-22
cust-0095,2026-01-25
cust-0096,2025-12-14
cust-0097,2026-05-16
cust-0098,2026-04-04
