id,expense_id,date,amount_cents
expense-pay-001,expense-marketing-001,2025-09-22,10092
expense-pay-001-ops,expense-operations-001,2025-09-24,8710
expense-pay-002,expense-marketing-002,2025-10-01,12703
expense-pay-002-ops,expense-operations-002,2025-10-03,17711
expense-pay-003,expense-marketing-003,2025-11-01,11495
expense-pay-003-ops,expense-operations-003,2025-11-03,14707
expense-pay-004,expense-marketing-004,2025-12-01,10905
expense-pay-004-ops,expense-operations-004,2025-12-03,15335
expense-pay-005,expense-marketing-005,2026-01-01,10181
expense-pay-005-ops,expense-operations-005,2026-01-03,8790
expense-pay-006,expense-marketing-006,2026-02-01,13807
expense-pay-006-ops,expense-operations-006,2026-02-03,16993
expense-pay-007,expense-marketing-007,2026-03-01,9433
expense-pay-007-ops,expense-operations-007,2026-03-03,17833
expense-pay-008,expense-marketing-008,2026-04-01,11935
expense-pay-008-ops,expense-operations-008,2026-04-03,18345
expense-pay-009,expense-marketing-009,2026-05-01,9581
expense-pay-009-ops,expense-operations-009,2026-05-03,8169
expense-pay-010,expense-marketing-010,2026-06-01,12389
expense-pay-010-ops,expense-operations-010,2026-06-03,18001
expense-pay-011,expense-marketing-011,2026-07-01,10594
expense-pay-011-ops,expense-operations-011,2026-07-03,14038
expense-pay-012,expense-marketing-012,2026-08-01,13927
expense-pay-012-ops,expense-operations-012,2026-08-03,13469
expense-pay-013,expense-marketing-013,2026-09-01,10484
expense-pay-013-ops,expense-operations-013,2026-09-03,8027
