id,date,category,amount_cents,paid_cents,variable
expense-marketing-001,2025-09-22,marketing,10092,10092,1
expense-operations-001,2025-09-22,operations,17421,8710,0
expense-marketing-002,2025-10-01,marketing,12703,12703,1
expense-operations-002,2025-10-01,operations,17711,17711,0
expense-marketing-003,2025-11-01,marketing,11495,11495,1
expense-operations-003,2025-11-01,operations,14707,14707,0
expense-marketing-004,2025-12-01,marketing,10905,10905,1
expense-operations-004,2025-12-01,operations,15335,15335,0
expense-marketing-005,2026-01-01,marketing,10181,10181,1
expense-operations-005,2026-01-01,operations,17581,8790,0
expense-marketing-006,2026-02-01,marketing,13807,13807,1
expense-operations-006,2026-02-01,operations,16993,16993,0
expense-marketing-007,2026-03-01,marketing,9433,9433,1
expense-operations-007,2026-03-01,operations,17833,17833,0
expense-marketing-008,2026-04-01,marketing,11935,11935,1
expense-operations-008,2026-04-01,operations,18345,18345,0
expense-marketing-009,2026-05-01,marketing,9581,9581,1
expense-operations-009,2026-05-01,operations,16339,8169,0
expense-marketing-010,2026-06-01,marketing,12389,12389,1
expense-operations-010,2026-06-01,operations,18001,18001,0
expense-marketing-011,2026-07-01,marketing,10594,10594,1
expense-operations-011,2026-07-01,operations,14038,14038,0
expense-marketing-012,2026-08-01,marketing,13927,13927,1
expense-operations-012,2026-08-01,operations,13469,13469,0
expense-marketing-013,2026-09-01,marketing,10484,10484,1
expense-operations-013,2026-09-01,operations,16054,8027,0
