id,experiment_id,customer_id,arm,assigned_date
assignment-00001,exp-socks-01,cust-0001,treatment,2025-09-22
assignment-00002,exp-socks-01,cust-0002,control,2025-09-23
assignment-00003,exp-socks-01,cust-0003,treatment,2025-09-24
assignment-00004,exp-socks-01,cust-0004,control,2025-09-25
assignment-00005,exp-socks-01,cust-0005,control,2025-09-26
assignment-00006,exp-socks-01,cust-0008,control,2025-10-04
assignment-00007,exp-socks-01,cust-0016,control,2025-11-05
assignment-00008,exp-socks-01,cust-0019,treatment,2025-10-08
assignment-00009,exp-socks-01,cust-0020,treatment,2025-10-07
assignment-00010,exp-socks-01,cust-0021,treatment,2025-11-08
assignment-00011,exp-socks-01,cust-0026,treatment,2025-10-05
assignment-00012,exp-socks-01,cust-0037,control,2025-10-03
assignment-00013,exp-socks-01,cust-0047,treatment,2025-11-08
assignment-00014,exp-socks-01,cust-0049,treatment,2025-11-10
assignment-00015,exp-socks-01,cust-0054,control,2025-10-14
assignment-00016,exp-socks-01,cust-0059,treatment,2025-11-01
assignment-00017,exp-socks-01,cust-0068,treatment,2025-10-27
assignment-00018,exp-socks-01,cust-0069,control,2025-10-15
assignment-00019,exp-socks-01,cust-0073,control,2025-11-01
assignment-00020,exp-socks-01,cust-0090,treatment,2025-10-28
assignment-00021,exp-socks-01,cust-0106,treatment,2025-10-20
assignment-00022,exp-socks-01,cust-0108,treatment,2025-10-08
assignment-00023,exp-socks-01,cust-0112,treatment,2025-10-25
assignment-00024,exp-socks-01,cust-0138,control,2025-11-07
assignment-00025,exp-socks-01,cust-0139,treatment,2025-10-16
assignment-00026,exp-socks-01,cust-0147,control,2025-10-24
assignment-00027,exp-socks-01,cust-0155,treatment,2025-10-04
assignment-00028,exp-socks-01,cust-0168,treatment,2025-10-05
assignment-00029,exp-socks-01,cust-0185,control,2025-09-22
assignment-00030,exp-socks-01,cust-0189,treatment,2025-10-01
assignment-00031,exp-socks-01,cust-0194,treatment,2025-10-21
assignment-00032,exp-socks-01,cust-0197,control,2025-11-01
assignment-00033,exp-socks-01,cust-0198,control,2025-11-04
assignment-00034,exp-socks-01,cust-0200,treatment,2025-10-27
assignment-00035,exp-socks-01,cust-0227,treatment,2025-10-24
assignment-00036,exp-socks-01,cust-0229,control,2025-10-02
assignment-00037,exp-socks-01,cust-0235,control,2025-09-30
assignment-00038,exp-socks-01,cust-0236,control,2025-10-28
assignment-00039,exp-socks-01,cust-0239,control,2025-10-22
assignment-00040,exp-socks-01,cust-0241,treatment,2025-10-26
assignment-00041,exp-socks-01,cust-0242,treatment,2025-10-08
assignment-00042,exp-socks-01,cust-0244,treatment,2025-10-28
assignment-00043,exp-socks-01,cust-0260,treatment,2025-11-09
assignment-00044,exp-socks-01,cust-0261,control,2025-11-10
assignment-00045,exp-socks-01,cust-0268,control,2025-10-19
assignment-00046,exp-socks-01,cust-0273,treatment,2025-10-23
assignment-00047,exp-socks-01,cust-0288,treatment,2025-10-30
assignment-00048,exp-socks-01,cust-0292,control,2025-10-17
assignment-00049,exp-socks-01,cust-0295,control,2025-09-29
assignment-00050,exp-socks-01,cust-0296,control,2025-11-08
assignment-00051,exp-socks-01,cust-0304,control,2025-10-22
assignment-00052,exp-socks-01,cust-0307,treatment,2025-10-01
assignment-00053,exp-socks-01,cust-0321,control,2025-10-21
assignment-00054,exp-socks-01,cust-0324,treatment,2025-10-23
assignment-00055,exp-socks-01,cust-0326,control,2025-10-21
assignment-00056,exp-socks-01,cust-0327,control,2025-10-17
assignment-00057,exp-socks-01,cust-0333,treatment,2025-10-21
assignment-00058,exp-socks-01,cust-0335,control,2025-11-02
assignment-00059,exp-socks-01,cust-0337,treatment,2025-10-27
assignment-00060,exp-socks-01,cust-0339,treatment,2025-10-26
assignment-00061,exp-socks-01,cust-0348,treatment,2025-10-12
assignment-00062,exp-socks-01,cust-0350,treatment,2025-11-02
assignment-00063,exp-socks-01,cust-0370,control,2025-10-29
assignment-00064,exp-socks-01,cust-0371,control,2025-09-29
assignment-00065,exp-socks-01,cust-0376,treatment,2025-10-29
assignment-00066,exp-socks-01,cust-0383,control,2025-10-27
assignment-00067,exp-socks-01,cust-0395,control,2025-10-02
