id,assignment_id,date,converted,net_revenue_cents,contribution_cents,returned
outcome-00001,assignment-00001,2025-09-23,1,10728,8016,0
outcome-00002,assignment-00002,2025-09-25,0,0,0,0
outcome-00003,assignment-00003,2025-09-27,0,0,0,0
outcome-00004,assignment-00004,2025-09-29,0,0,0,0
outcome-00005,assignment-00005,2025-10-01,1,7139,3444,0
outcome-00006,assignment-00006,2025-10-10,0,0,0,0
outcome-00007,assignment-00007,2025-11-12,0,0,0,0
outcome-00008,assignment-00008,2025-10-09,0,0,0,0
outcome-00009,assignment-00009,2025-10-09,0,0,0,0
outcome-00010,assignment-00010,2025-11-11,0,0,0,0
outcome-00011,assignment-00011,2025-10-09,0,0,0,0
outcome-00012,assignment-00012,2025-10-08,1,9913,5026,0
outcome-00013,assignment-00013,2025-11-14,0,0,0,0
outcome-00014,assignment-00014,2025-11-17,0,0,0,0
outcome-00015,assignment-00015,2025-10-15,0,0,0,0
outcome-00016,assignment-00016,2025-11-03,0,0,0,0
outcome-00017,assignment-00017,2025-10-30,0,0,0,0
outcome-00018,assignment-00018,2025-10-19,0,0,0,0
outcome-00019,assignment-00019,2025-11-06,0,0,0,0
outcome-00020,assignment-00020,2025-11-03,1,11887,8920,0
outcome-00021,assignment-00021,2025-10-27,0,0,0,0
outcome-00022,assignment-00022,2025-10-09,1,7307,4909,0
outcome-00023,assignment-00023,2025-10-27,0,0,0,0
outcome-00024,assignment-00024,2025-11-10,0,0,0,0
outcome-00025,assignment-00025,2025-10-20,0,0,0,0
outcome-00026,assignment-00026,2025-10-29,0,0,0,0
outcome-00027,assignment-00027,2025-10-10,1,7083,4859,0
outcome-00028,assignment-00028,2025-10-12,1,7339,5068,0
outcome-00029,assignment-00029,2025-09-23,0,0,0,0
outcome-00030,assignment-00030,2025-10-03,0,0,0,0
outcome-00031,assignment-00031,2025-10-24,1,11263,7946,0
outcome-00032,assignment-00032,2025-11-05,0,0,0,0
outcome-00033,assignment-00033,2025-11-09,1,4666,2691,0
outcome-00034,assignment-00034,2025-11-02,0,0,0,0
outcome-00035,assignment-00035,2025-10-31,0,0,0,0
outcome-00036,assignment-00036,2025-10-03,0,0,0,0
outcome-00037,assignment-00037,2025-10-02,0,0,0,0
outcome-00038,assignment-00038,2025-10-31,1,10328,8092,0
outcome-00039,assignment-00039,2025-10-26,1,12060,8895,0
outcome-00040,assignment-00040,2025-10-31,0,0,0,0
outcome-00041,assignment-00041,2025-10-14,1,10027,5655,0
outcome-00042,assignment-00042,2025-11-04,0,0,0,0
outcome-00043,assignment-00043,2025-11-10,0,0,0,0
outcome-00044,assignment-00044,2025-11-12,0,0,0,0
outcome-00045,assignment-00045,2025-10-22,0,0,0,0
outcome-00046,assignment-00046,2025-10-27,0,0,0,0
outcome-00047,assignment-00047,2025-11-04,1,9861,6437,0
outcome-00048,assignment-00048,2025-10-23,1,13380,9325,0
outcome-00049,assignment-00049,2025-10-06,1,7507,4927,0
outcome-00050,assignment-00050,2025-11-09,0,0,0,0
outcome-00051,assignment-00051,2025-10-24,1,8574,5976,0
outcome-00052,assignment-00052,2025-10-04,1,11161,8510,0
outcome-00053,assignment-00053,2025-10-25,1,11885,7160,0
outcome-00054,assignment-00054,2025-10-28,0,0,0,0
outcome-00055,assignment-00055,2025-10-27,1,9641,4930,0
outcome-00056,assignment-00056,2025-10-24,0,0,0,0
outcome-00057,assignment-00057,2025-10-22,1,5321,2895,0
outcome-00058,assignment-00058,2025-11-04,0,0,0,0
outcome-00059,assignment-00059,2025-10-30,0,0,0,0
outcome-00060,assignment-00060,2025-10-30,1,8817,6246,0
outcome-00061,assignment-00061,2025-10-17,1,9718,7679,0
outcome-00062,assignment-00062,2025-11-08,0,0,0,0
outcome-00063,assignment-00063,2025-11-05,1,9092,5563,0
outcome-00064,assignment-00064,2025-09-30,0,0,0,0
outcome-00065,assignment-00065,2025-10-31,0,0,0,0
outcome-00066,assignment-00066,2025-10-30,1,6686,2755,0
outcome-00067,assignment-00067,2025-10-06,1,4766,2416,0
