id,variant_id,date,counted_qty
count-00001,var-sock-black-s,2026-09-21,46
count-00002,var-sock-black-m,2026-09-21,61
count-00003,var-sock-black-l,2026-09-21,57
count-00004,var-sock-ivory-s,2026-09-21,42
count-00005,var-sock-ivory-m,2026-09-21,58
count-00006,var-sock-ivory-l,2026-09-21,51
count-00007,var-sock-rose-s,2026-09-21,54
count-00008,var-sock-rose-m,2026-09-21,39
count-00009,var-sock-rose-l,2026-09-21,50
count-00010,var-sock-sage-s,2026-09-21,39
count-00011,var-sock-sage-m,2026-09-21,55
count-00012,var-sock-sage-l,2026-09-21,43
count-00013,var-sock-lilac-s,2026-09-21,53
count-00014,var-sock-lilac-m,2026-09-21,47
count-00015,var-sock-lilac-l,2026-09-21,48
count-00016,var-sock-coral-s,2026-09-21,49
count-00017,var-sock-coral-m,2026-09-21,39
count-00018,var-sock-coral-l,2026-09-21,53
count-00019,var-legging-black-s,2026-09-21,31
count-00020,var-legging-black-m,2026-09-21,43
count-00021,var-legging-black-l,2026-09-21,36
count-00022,var-legging-navy-s,2026-09-21,42
count-00023,var-legging-navy-m,2026-09-21,37
count-00024,var-legging-navy-l,2026-09-21,37
count-00025,var-legging-olive-s,2026-09-21,34
count-00026,var-legging-olive-m,2026-09-21,37
count-00027,var-legging-olive-l,2026-09-21,33
count-00028,var-top-black-s,2026-09-21,35
count-00029,var-top-black-m,2026-09-21,35
count-00030,var-top-black-l,2026-09-21,39
count-00031,var-top-sand-s,2026-09-21,31
count-00032,var-top-sand-m,2026-09-21,45
count-00033,var-top-sand-l,2026-09-21,33
count-00034,var-top-rose-s,2026-09-21,42
count-00035,var-top-rose-m,2026-09-21,29
count-00036,var-top-rose-l,2026-09-21,39
count-00037,var-short-black-s,2026-09-21,41
count-00038,var-short-black-m,2026-09-21,37
count-00039,var-short-black-l,2026-09-21,31
count-00040,var-short-coral-s,2026-09-21,44
count-00041,var-short-coral-m,2026-09-21,47
count-00042,var-short-coral-l,2026-09-21,31
count-00043,var-short-navy-s,2026-09-21,42
count-00044,var-short-navy-m,2026-09-21,36
count-00045,var-short-navy-l,2026-09-21,38
count-00046,var-wrap-sand-o-s,2026-09-21,28
