id,order_id,date,amount_cents,status,kind
invoice-ord-00001,ord-00001,2025-09-22,149320,issued,management_statement
invoice-ord-00002,ord-00002,2025-09-23,106423,issued,management_statement
invoice-ord-00006,ord-00006,2026-08-15,23059,issued,management_statement
invoice-ord-00008,ord-00008,2026-01-16,44499,issued,management_statement
invoice-ord-00009,ord-00009,2026-02-09,72112,issued,management_statement
invoice-ord-00010,ord-00010,2026-07-14,79119,issued,management_statement
invoice-ord-00012,ord-00012,2026-06-08,22217,issued,management_statement
invoice-ord-00014,ord-00014,2026-09-03,33804,issued,management_statement
invoice-ord-00015,ord-00015,2026-06-28,115163,issued,management_statement
invoice-ord-00016,ord-00016,2026-05-23,17572,issued,management_statement
invoice-ord-00017,ord-00017,2026-07-21,57688,issued,management_statement
invoice-ord-00018,ord-00018,2026-09-13,97121,issued,management_statement
invoice-ord-00019,ord-00019,2026-06-29,54466,issued,management_statement
invoice-ord-00020,ord-00020,2026-06-15,34262,issued,management_statement
invoice-ord-00021,ord-00021,2026-09-12,45526,issued,management_statement
invoice-ord-00022,ord-00022,2026-01-11,60949,issued,management_statement
invoice-ord-00024,ord-00024,2026-08-30,55459,issued,management_statement
invoice-ord-00025,ord-00025,2026-07-27,34401,issued,management_statement
invoice-ord-00027,ord-00027,2026-07-06,17266,issued,management_statement
invoice-ord-00028,ord-00028,2026-01-02,29065,issued,management_statement
invoice-ord-00029,ord-00029,2026-08-20,96768,issued,management_statement
invoice-ord-00030,ord-00030,2026-09-16,33031,issued,management_statement
invoice-ord-00031,ord-00031,2026-06-28,87920,issued,management_statement
invoice-ord-00032,ord-00032,2026-05-15,35814,issued,management_statement
invoice-ord-00034,ord-00034,2026-07-10,11367,issued,management_statement
invoice-ord-00036,ord-00036,2026-05-09,45140,issued,management_statement
invoice-ord-00037,ord-00037,2026-05-12,34524,issued,management_statement
invoice-ord-00038,ord-00038,2026-01-10,20909,issued,management_statement
invoice-ord-00039,ord-00039,2026-09-14,69400,issued,management_statement
invoice-ord-00040,ord-00040,2026-04-26,69309,issued,management_statement
invoice-ord-00041,ord-00041,2026-09-08,107832,issued,management_statement
invoice-ord-00042,ord-00042,2026-05-06,73345,issued,management_statement
invoice-ord-00043,ord-00043,2025-12-10,56108,issued,management_statement
invoice-ord-00045,ord-00045,2026-06-27,22333,issued,management_statement
invoice-ord-00046,ord-00046,2026-07-10,84516,issued,management_statement
invoice-ord-00047,ord-00047,2026-05-04,28823,issued,management_statement
invoice-ord-00048,ord-00048,2026-09-02,87654,issued,management_statement
invoice-ord-00049,ord-00049,2025-12-20,32952,issued,management_statement
invoice-ord-00050,ord-00050,2026-03-24,40798,issued,management_statement
invoice-ord-00051,ord-00051,2026-03-17,10854,issued,management_statement
invoice-ord-00053,ord-00053,2026-02-16,51550,issued,management_statement
invoice-ord-00055,ord-00055,2026-05-15,11343,issued,management_statement
invoice-ord-00057,ord-00057,2026-06-08,11291,issued,management_statement
invoice-ord-00058,ord-00058,2026-05-27,34390,issued,management_statement
invoice-ord-00060,ord-00060,2026-07-01,20656,issued,management_statement
invoice-ord-00061,ord-00061,2026-05-13,77900,issued,management_statement
invoice-ord-00062,ord-00062,2026-08-09,11137,issued,management_statement
invoice-ord-00063,ord-00063,2026-08-04,23047,issued,management_statement
invoice-ord-00064,ord-00064,2026-03-26,22737,issued,management_statement
invoice-ord-00065,ord-00065,2026-07-31,55934,issued,management_statement
invoice-ord-00066,ord-00066,2026-05-15,28378,issued,management_statement
invoice-ord-00067,ord-00067,2026-09-17,10830,issued,management_statement
invoice-ord-00068,ord-00068,2026-05-27,19963,issued,management_statement
invoice-ord-00069,ord-00069,2026-08-25,98644,issued,management_statement
invoice-ord-00070,ord-00070,2026-09-05,97134,issued,management_statement
invoice-ord-00071,ord-00071,2026-01-16,18183,issued,management_statement
invoice-ord-00072,ord-00072,2026-05-26,11034,issued,management_statement
invoice-ord-00073,ord-00073,2026-01-15,54115,issued,management_statement
invoice-ord-00074,ord-00074,2026-04-12,105942,issued,management_statement
invoice-ord-00076,ord-00076,2026-05-17,56312,issued,management_statement
invoice-ord-00080,ord-00080,2026-08-15,33005,issued,management_statement
invoice-ord-00082,ord-00082,2026-03-30,53822,issued,management_statement
invoice-ord-00084,ord-00084,2026-04-15,64297,issued,management_statement
invoice-ord-00085,ord-00085,2026-08-31,33360,issued,management_statement
invoice-ord-00086,ord-00086,2026-07-01,77527,issued,management_statement
invoice-ord-00087,ord-00087,2026-09-16,80656,issued,management_statement
invoice-ord-00089,ord-00089,2026-08-19,21916,issued,management_statement
invoice-ord-00090,ord-00090,2026-03-29,53131,issued,management_statement
invoice-ord-00091,ord-00091,2026-08-17,56084,issued,management_statement
invoice-ord-00092,ord-00092,2026-08-13,56745,issued,management_statement
invoice-ord-00094,ord-00094,2026-06-22,44624,issued,management_statement
invoice-ord-00095,ord-00095,2026-07-25,42557,issued,management_statement
invoice-ord-00096,ord-00096,2026-06-03,32972,issued,management_statement
invoice-ord-00097,ord-00097,2026-05-16,22365,issued,management_statement
invoice-ord-00098,ord-00098,2026-07-12,62911,issued,management_statement
invoice-ord-00099,ord-00099,2026-02-07,22082,issued,management_statement
invoice-ord-00100,ord-00100,2026-08-15,22113,issued,management_statement
invoice-ord-00101,ord-00101,2026-09-09,70615,issued,management_statement
invoice-ord-00102,ord-00102,2026-07-07,58319,issued,management_statement
invoice-ord-00104,ord-00104,2026-09-07,18097,issued,management_statement
invoice-ord-00106,ord-00106,2025-11-04,61582,issued,management_statement
invoice-ord-00107,ord-00107,2026-03-27,83842,issued,management_statement
invoice-ord-00108,ord-00108,2025-10-25,74908,issued,management_statement
invoice-ord-00109,ord-00109,2026-08-23,63049,issued,management_statement
invoice-ord-00110,ord-00110,2026-04-15,33279,issued,management_statement
invoice-ord-00111,ord-00111,2026-02-20,17732,issued,management_statement
invoice-ord-00113,ord-00113,2026-04-20,52456,issued,management_statement
invoice-ord-00114,ord-00114,2026-07-09,22043,issued,management_statement
invoice-ord-00115,ord-00115,2026-04-05,58386,issued,management_statement
invoice-ord-00116,ord-00116,2026-05-26,23185,issued,management_statement
invoice-ord-00119,ord-00119,2026-05-21,11449,issued,management_statement
invoice-ord-00120,ord-00120,2026-08-17,66745,issued,management_statement
invoice-ord-00121,ord-00121,2026-05-14,43738,issued,management_statement
invoice-ord-00122,ord-00122,2025-12-04,45825,issued,management_statement
invoice-ord-00126,ord-00126,2026-07-06,23117,issued,management_statement
invoice-ord-00127,ord-00127,2026-06-24,22172,issued,management_statement
invoice-ord-00128,ord-00128,2026-03-29,34252,issued,management_statement
invoice-ord-00129,ord-00129,2026-07-18,53217,issued,management_statement
invoice-ord-00130,ord-00130,2026-04-29,88228,issued,management_statement
invoice-ord-00131,ord-00131,2026-09-04,73875,issued,management_statement
invoice-ord-00132,ord-00132,2026-04-14,22242,issued,management_statement
invoice-ord-00133,ord-00133,2026-03-26,11444,issued,management_statement
invoice-ord-00134,ord-00134,2026-02-02,29018,issued,management_statement
invoice-ord-00136,ord-00136,2026-06-09,54876,issued,management_statement
invoice-ord-00137,ord-00137,2026-06-01,102962,issued,management_statement
invoice-ord-00138,ord-00138,2026-05-25,34801,issued,management_statement
invoice-ord-00139,ord-00139,2026-05-18,10970,issued,management_statement
invoice-ord-00140,ord-00140,2026-06-14,21915,issued,management_statement
invoice-ord-00143,ord-00143,2026-01-07,59987,issued,management_statement
invoice-ord-00145,ord-00145,2026-04-26,33583,issued,management_statement
invoice-ord-00146,ord-00146,2026-07-24,43654,issued,management_statement
invoice-ord-00147,ord-00147,2026-03-01,10875,issued,management_statement
invoice-ord-00148,ord-00148,2026-06-07,42540,issued,management_statement
invoice-ord-00149,ord-00149,2026-04-05,68552,issued,management_statement
invoice-ord-00150,ord-00150,2026-08-07,144778,issued,management_statement
invoice-ord-00151,ord-00151,2026-06-05,32755,issued,management_statement
invoice-ord-00152,ord-00152,2026-06-19,69236,issued,management_statement
invoice-ord-00154,ord-00154,2026-07-02,88245,issued,management_statement
invoice-ord-00156,ord-00156,2026-09-05,76137,issued,management_statement
invoice-ord-00157,ord-00157,2025-12-19,52377,issued,management_statement
invoice-ord-00158,ord-00158,2026-09-06,63603,issued,management_statement
invoice-ord-00160,ord-00160,2026-02-16,27570,issued,management_statement
invoice-ord-00161,ord-00161,2026-08-16,38687,issued,management_statement
invoice-ord-00162,ord-00162,2026-03-15,104007,issued,management_statement
invoice-ord-00163,ord-00163,2026-02-16,33141,issued,management_statement
invoice-ord-00164,ord-00164,2026-02-19,23014,issued,management_statement
invoice-ord-00165,ord-00165,2026-05-02,33629,issued,management_statement
invoice-ord-00166,ord-00166,2026-06-01,38846,issued,management_statement
invoice-ord-00167,ord-00167,2026-05-12,52190,issued,management_statement
invoice-ord-00168,ord-00168,2026-05-24,78689,issued,management_statement
invoice-ord-00169,ord-00169,2026-09-11,33063,issued,management_statement
invoice-ord-00172,ord-00172,2026-06-08,119582,issued,management_statement
invoice-ord-00173,ord-00173,2025-11-15,34932,issued,management_statement
