id,customer_id,session_id,channel,campaign_id,date,intent,status,order_id,variant_id
lead-00001,cust-0001,session-00001,Instagram,camp-studio,2025-09-22,purchase,converted,ord-00001,var-short-coral-m
lead-00002,cust-0002,session-00002,Instagram,camp-studio,2025-09-23,purchase,converted,ord-00002,var-legging-navy-l
lead-00003,cust-0003,session-00003,Organic,organic,2025-09-24,purchase,converted,ord-00003,var-legging-navy-m
lead-00004,cust-0004,session-00004,Paid Social,camp-move,2025-09-25,purchase,converted,ord-00004,var-sock-sage-l
lead-00005,cust-0005,session-00005,Instagram,camp-studio,2025-09-26,browse,lost,,
lead-00006,cust-0006,session-00006,Organic,organic,2026-08-15,purchase,converted,ord-00006,var-sock-rose-m
lead-00007,cust-0007,session-00007,Instagram,camp-studio,2026-09-16,purchase,converted,ord-00007,var-sock-lilac-l
lead-00008,cust-0008,session-00008,Instagram,camp-studio,2026-01-16,purchase,converted,ord-00008,var-sock-black-l
lead-00009,cust-0009,session-00009,Organic,organic,2026-02-09,purchase,converted,ord-00009,var-top-black-l
lead-00010,cust-0010,session-00010,Instagram,camp-studio,2026-07-14,purchase,converted,ord-00010,var-top-rose-l
lead-00011,cust-0011,session-00011,Organic,organic,2026-01-14,purchase,converted,ord-00011,var-legging-navy-s
lead-00012,cust-0012,session-00012,Instagram,camp-studio,2026-06-08,purchase,converted,ord-00012,var-sock-rose-s
lead-00013,cust-0013,session-00013,DM,camp-private,2026-04-04,purchase,converted,ord-00013,var-sock-coral-l
lead-00014,cust-0014,session-00014,Paid Social,camp-move,2026-09-03,purchase,converted,ord-00014,var-sock-rose-s
lead-00015,cust-0015,session-00015,DM,camp-private,2026-06-28,purchase,converted,ord-00015,var-legging-olive-m
lead-00016,cust-0016,session-00016,DM,camp-private,2026-05-23,purchase,converted,ord-00016,var-short-black-s
lead-00017,cust-0017,session-00017,Paid Social,camp-move,2026-07-21,purchase,converted,ord-00017,var-legging-navy-s
lead-00018,cust-0018,session-00018,Paid Social,camp-move,2026-09-13,purchase,converted,ord-00018,var-sock-ivory-m
lead-00019,cust-0019,session-00019,Paid Social,camp-move,2026-06-29,purchase,converted,ord-00019,var-short-navy-l
lead-00020,cust-0020,session-00020,Paid Social,camp-move,2026-06-15,purchase,converted,ord-00020,var-sock-rose-l
lead-00021,cust-0021,session-00021,Instagram,camp-studio,2026-09-12,purchase,converted,ord-00021,var-sock-lilac-m
lead-00022,cust-0022,session-00022,Organic,organic,2026-01-11,purchase,converted,ord-00022,var-top-sand-m
lead-00023,cust-0023,session-00023,Organic,organic,2026-06-28,purchase,converted,ord-00023,var-sock-coral-s
lead-00024,cust-0024,session-00024,DM,camp-private,2026-08-30,purchase,converted,ord-00024,var-short-black-m
lead-00025,cust-0025,session-00025,DM,camp-private,2026-07-27,purchase,converted,ord-00025,var-sock-lilac-l
lead-00026,cust-0026,session-00026,Instagram,camp-studio,2026-04-04,browse,lost,,
lead-00027,cust-0027,session-00027,Organic,organic,2026-07-06,purchase,converted,ord-00027,var-short-navy-s
lead-00028,cust-0028,session-00028,Organic,organic,2026-01-02,purchase,converted,ord-00028,var-short-black-s
lead-00029,cust-0029,session-00029,Organic,organic,2026-08-20,purchase,converted,ord-00029,var-sock-sage-s
lead-00030,cust-0030,session-00030,DM,camp-private,2026-09-16,purchase,converted,ord-00030,var-sock-ivory-s
lead-00031,cust-0031,session-00031,Paid Social,camp-move,2026-06-28,purchase,converted,ord-00031,var-legging-black-s
lead-00032,cust-0032,session-00032,DM,camp-private,2026-05-15,purchase,converted,ord-00032,var-short-navy-s
lead-00033,cust-0033,session-00033,Instagram,camp-studio,2026-07-22,purchase,converted,ord-00033,var-sock-lilac-l
lead-00034,cust-0034,session-00034,DM,camp-private,2026-07-10,purchase,converted,ord-00034,var-sock-coral-s
lead-00035,cust-0035,session-00035,Instagram,camp-studio,2026-07-20,purchase,converted,ord-00035,var-sock-black-s
lead-00036,cust-0036,session-00036,Organic,organic,2026-05-09,purchase,converted,ord-00036,var-sock-sage-l
lead-00037,cust-0037,session-00037,Instagram,camp-studio,2026-05-12,purchase,converted,ord-00037,var-sock-coral-l
lead-00038,cust-0038,session-00038,DM,camp-private,2026-01-10,purchase,converted,ord-00038,var-top-black-s
lead-00039,cust-0039,session-00039,Instagram,camp-studio,2026-09-14,purchase,converted,ord-00039,var-sock-sage-s
lead-00040,cust-0040,session-00040,Paid Social,camp-move,2026-04-26,purchase,converted,ord-00040,var-legging-olive-l
lead-00041,cust-0041,session-00041,Instagram,camp-studio,2026-09-08,purchase,converted,ord-00041,var-sock-coral-l
lead-00042,cust-0042,session-00042,Instagram,camp-studio,2026-05-06,purchase,converted,ord-00042,var-short-black-m
lead-00043,cust-0043,session-00043,Instagram,camp-studio,2025-12-10,purchase,converted,ord-00043,var-sock-coral-s
lead-00044,cust-0044,session-00044,DM,camp-private,2026-01-10,purchase,converted,ord-00044,var-short-coral-s
lead-00045,cust-0045,session-00045,Instagram,camp-studio,2026-06-27,purchase,converted,ord-00045,var-sock-ivory-l
lead-00046,cust-0046,session-00046,Organic,organic,2026-07-10,purchase,converted,ord-00046,var-legging-olive-l
lead-00047,cust-0047,session-00047,Instagram,camp-studio,2026-05-04,purchase,converted,ord-00047,var-legging-black-s
lead-00048,cust-0048,session-00048,Organic,organic,2026-09-02,purchase,converted,ord-00048,var-legging-olive-l
lead-00049,cust-0049,session-00049,Paid Social,camp-move,2025-12-20,purchase,converted,ord-00049,var-sock-lilac-m
lead-00050,cust-0050,session-00050,Paid Social,camp-move,2026-03-24,purchase,converted,ord-00050,var-top-black-m
lead-00051,cust-0051,session-00051,DM,camp-private,2026-03-17,purchase,converted,ord-00051,var-sock-sage-m
lead-00052,cust-0052,session-00052,Organic,organic,2026-07-28,purchase,converted,ord-00052,var-top-sand-l
lead-00053,cust-0053,session-00053,Paid Social,camp-move,2026-02-16,purchase,converted,ord-00053,var-short-black-m
lead-00054,cust-0054,session-00054,Organic,organic,2026-01-15,purchase,converted,ord-00054,var-sock-ivory-m
lead-00055,cust-0055,session-00055,Paid Social,camp-move,2026-05-15,purchase,converted,ord-00055,var-sock-coral-l
lead-00056,cust-0056,session-00056,Paid Social,camp-move,2026-07-25,purchase,converted,ord-00056,var-sock-lilac-m
lead-00057,cust-0057,session-00057,Instagram,camp-studio,2026-06-08,purchase,converted,ord-00057,var-sock-coral-s
lead-00058,cust-0058,session-00058,Instagram,camp-studio,2026-05-27,purchase,converted,ord-00058,var-sock-rose-s
lead-00059,cust-0059,session-00059,Instagram,camp-studio,2026-04-06,purchase,converted,ord-00059,var-short-coral-m
lead-00060,cust-0060,session-00060,Organic,organic,2026-07-01,purchase,converted,ord-00060,var-top-sand-l
lead-00061,cust-0061,session-00061,Instagram,camp-studio,2026-05-13,purchase,converted,ord-00061,var-legging-olive-l
lead-00062,cust-0062,session-00062,Paid Social,camp-move,2026-08-09,purchase,converted,ord-00062,var-sock-black-l
lead-00063,cust-0063,session-00063,Organic,organic,2026-08-04,purchase,converted,ord-00063,var-sock-ivory-s
lead-00064,cust-0064,session-00064,Organic,organic,2026-03-26,purchase,converted,ord-00064,var-sock-ivory-m
lead-00065,cust-0065,session-00065,Organic,organic,2026-07-31,purchase,converted,ord-00065,var-legging-olive-m
lead-00066,cust-0066,session-00066,Instagram,camp-studio,2026-05-15,purchase,converted,ord-00066,var-legging-navy-l
lead-00067,cust-0067,session-00067,Organic,organic,2026-09-17,purchase,converted,ord-00067,var-sock-sage-s
