id,variant_id,date,kind,quantity,reference_id
mov-opening-var-legging-black-l,var-legging-black-l,2025-09-22,opening,66,opening-var-legging-black-l
mov-opening-var-legging-black-m,var-legging-black-m,2025-09-22,opening,78,opening-var-legging-black-m
mov-opening-var-legging-black-s,var-legging-black-s,2025-09-22,opening,51,opening-var-legging-black-s
mov-opening-var-legging-navy-l,var-legging-navy-l,2025-09-22,opening,64,opening-var-legging-navy-l
mov-opening-var-legging-navy-m,var-legging-navy-m,2025-09-22,opening,74,opening-var-legging-navy-m
mov-opening-var-legging-navy-s,var-legging-navy-s,2025-09-22,opening,66,opening-var-legging-navy-s
mov-opening-var-legging-olive-l,var-legging-olive-l,2025-09-22,opening,75,opening-var-legging-olive-l
mov-opening-var-legging-olive-m,var-legging-olive-m,2025-09-22,opening,66,opening-var-legging-olive-m
mov-opening-var-legging-olive-s,var-legging-olive-s,2025-09-22,opening,63,opening-var-legging-olive-s
mov-opening-var-short-black-l,var-short-black-l,2025-09-22,opening,43,opening-var-short-black-l
mov-opening-var-short-black-m,var-short-black-m,2025-09-22,opening,83,opening-var-short-black-m
mov-opening-var-short-black-s,var-short-black-s,2025-09-22,opening,70,opening-var-short-black-s
mov-opening-var-short-coral-l,var-short-coral-l,2025-09-22,opening,67,opening-var-short-coral-l
mov-opening-var-short-coral-m,var-short-coral-m,2025-09-22,opening,80,opening-var-short-coral-m
mov-opening-var-short-coral-s,var-short-coral-s,2025-09-22,opening,72,opening-var-short-coral-s
mov-opening-var-short-navy-l,var-short-navy-l,2025-09-22,opening,87,opening-var-short-navy-l
mov-opening-var-short-navy-m,var-short-navy-m,2025-09-22,opening,69,opening-var-short-navy-m
mov-opening-var-short-navy-s,var-short-navy-s,2025-09-22,opening,76,opening-var-short-navy-s
mov-opening-var-sock-black-l,var-sock-black-l,2025-09-22,opening,119,opening-var-sock-black-l
mov-opening-var-sock-black-m,var-sock-black-m,2025-09-22,opening,114,opening-var-sock-black-m
mov-opening-var-sock-black-s,var-sock-black-s,2025-09-22,opening,100,opening-var-sock-black-s
