id,order_id,variant_id,quantity,unit_price_cents,discount_cents,unit_cost_cents
item-000001,ord-00001,var-short-coral-m,2,18900,1294,7100
item-000002,ord-00001,var-legging-olive-l,3,29900,4861,11200
item-000003,ord-00001,var-legging-black-m,1,29900,1925,11200
item-000004,ord-00002,var-legging-navy-l,3,29900,4568,11200
item-000005,ord-00002,var-top-rose-l,1,21900,609,8200
item-000006,ord-00003,var-legging-navy-m,2,29900,1729,11200
item-000007,ord-00004,var-sock-sage-l,1,11900,806,4200
item-000008,ord-00005,var-sock-ivory-m,1,11900,958,4200
item-000009,ord-00006,var-sock-rose-m,2,11900,741,4200
item-000010,ord-00007,var-sock-lilac-l,2,11900,984,4200
item-000011,ord-00008,var-sock-black-l,2,11900,1061,4200
item-000012,ord-00008,var-sock-coral-l,2,11900,2040,4200
item-000013,ord-00009,var-top-black-l,3,21900,4930,8200
item-000014,ord-00009,var-sock-coral-m,1,11900,558,4200
item-000015,ord-00010,var-top-rose-l,3,21900,4622,8200
item-000016,ord-00010,var-short-coral-s,1,18900,859,7100
item-000017,ord-00011,var-legging-navy-s,3,29900,7445,11200
item-000018,ord-00012,var-sock-rose-s,2,11900,1583,4200
item-000019,ord-00013,var-sock-coral-l,1,11900,491,4200
item-000020,ord-00014,var-sock-rose-s,3,11900,1896,4200
item-000021,ord-00015,var-legging-olive-m,3,29900,3743,11200
item-000022,ord-00015,var-legging-navy-m,1,29900,694,11200
item-000023,ord-00016,var-short-black-s,1,18900,1328,7100
item-000024,ord-00017,var-legging-navy-s,2,29900,2112,11200
item-000025,ord-00018,var-sock-ivory-m,2,11900,1588,4200
item-000026,ord-00018,var-short-black-m,2,18900,3269,7100
item-000027,ord-00018,var-top-sand-l,2,21900,3422,8200
item-000028,ord-00019,var-short-navy-l,3,18900,2234,7100
item-000029,ord-00020,var-sock-rose-l,2,11900,1008,4200
item-000030,ord-00020,var-sock-ivory-m,1,11900,430,4200
item-000031,ord-00021,var-sock-lilac-m,1,11900,410,4200
item-000032,ord-00021,var-sock-black-s,3,11900,1664,4200
item-000033,ord-00022,var-top-sand-m,3,21900,4751,8200
item-000034,ord-00023,var-sock-coral-s,1,11900,561,4200
item-000035,ord-00024,var-short-black-m,3,18900,1241,7100
item-000036,ord-00025,var-sock-lilac-l,1,11900,279,4200
item-000037,ord-00025,var-sock-rose-s,2,11900,1020,4200
item-000038,ord-00026,var-top-rose-s,1,21900,1586,8200
item-000039,ord-00027,var-short-navy-s,1,18900,1634,7100
item-000040,ord-00028,var-short-black-s,1,18900,993,7100
item-000041,ord-00028,var-sock-sage-l,1,11900,742,4200
