id,customer_id,channel,campaign_id,date,delivered_date,status
ord-00001,cust-0001,Instagram,camp-studio,2025-09-22,2025-09-25,delivered
ord-00002,cust-0002,Instagram,camp-studio,2025-09-23,,shipped
ord-00003,cust-0003,Organic,organic,2025-09-24,,paid
ord-00004,cust-0004,Paid Social,camp-move,2025-09-25,,pending
ord-00005,cust-0005,Instagram,camp-studio,2025-09-26,,cancelled
ord-00006,cust-0006,Organic,organic,2026-08-15,2026-08-19,delivered
ord-00007,cust-0007,Instagram,camp-studio,2026-09-16,,pending
ord-00008,cust-0008,Instagram,camp-studio,2026-01-16,,shipped
ord-00009,cust-0009,Organic,organic,2026-02-09,2026-02-13,delivered
ord-00010,cust-0010,Instagram,camp-studio,2026-07-14,2026-07-19,delivered
ord-00011,cust-0011,Organic,organic,2026-01-14,,pending
ord-00012,cust-0012,Instagram,camp-studio,2026-06-08,2026-06-13,delivered
ord-00013,cust-0013,DM,camp-private,2026-04-04,,pending
ord-00014,cust-0014,Paid Social,camp-move,2026-09-03,2026-09-07,delivered
ord-00015,cust-0015,DM,camp-private,2026-06-28,2026-07-02,delivered
ord-00016,cust-0016,DM,camp-private,2026-05-23,,shipped
ord-00017,cust-0017,Paid Social,camp-move,2026-07-21,2026-07-23,delivered
ord-00018,cust-0018,Paid Social,camp-move,2026-09-13,2026-09-16,delivered
ord-00019,cust-0019,Paid Social,camp-move,2026-06-29,2026-07-04,delivered
ord-00020,cust-0020,Paid Social,camp-move,2026-06-15,2026-06-20,delivered
ord-00021,cust-0021,Instagram,camp-studio,2026-09-12,2026-09-17,delivered
ord-00022,cust-0022,Organic,organic,2026-01-11,2026-01-16,delivered
ord-00023,cust-0023,Organic,organic,2026-06-28,,pending
ord-00024,cust-0024,DM,camp-private,2026-08-30,2026-09-02,delivered
ord-00025,cust-0025,DM,camp-private,2026-07-27,,shipped
ord-00026,cust-0026,Instagram,camp-studio,2026-04-04,,cancelled
ord-00027,cust-0027,Organic,organic,2026-07-06,2026-07-08,delivered
ord-00028,cust-0028,Organic,organic,2026-01-02,2026-01-05,delivered
