id,order_id,date,amount_cents,status
pay-000001,ord-00001,2025-09-22,74660,settled
pay-000002,ord-00001,2025-09-23,74660,settled
pay-000003,ord-00002,2025-09-23,106423,settled
pay-000004,ord-00003,2025-09-24,58071,settled
pay-000005,ord-00004,2025-09-25,3698,pending
pay-000006,ord-00006,2026-08-15,23059,settled
pay-000007,ord-00007,2026-09-16,7605,pending
pay-000008,ord-00008,2026-01-16,44499,settled
pay-000009,ord-00009,2026-02-09,72112,settled
pay-000010,ord-00010,2026-07-14,39559,settled
pay-000011,ord-00010,2026-07-15,39560,settled
pay-000012,ord-00011,2026-01-14,27418,pending
pay-000013,ord-00012,2026-06-08,22217,settled
pay-000014,ord-00013,2026-04-04,3803,pending
pay-000015,ord-00014,2026-09-03,33804,settled
pay-000016,ord-00015,2026-06-28,115163,settled
pay-000017,ord-00016,2026-05-23,8786,settled
pay-000018,ord-00016,2026-05-24,8786,settled
pay-000019,ord-00017,2026-07-21,57688,settled
pay-000020,ord-00018,2026-09-13,97121,settled
pay-000021,ord-00019,2026-06-29,27233,settled
pay-000022,ord-00019,2026-06-30,27233,settled
pay-000023,ord-00020,2026-06-15,34262,settled
pay-000024,ord-00021,2026-09-12,45526,settled
pay-000025,ord-00022,2026-01-11,30474,settled
pay-000026,ord-00022,2026-01-12,30475,settled
pay-000027,ord-00023,2026-06-28,3779,pending
pay-000028,ord-00024,2026-08-30,55459,settled
pay-000029,ord-00025,2026-07-27,17200,settled
pay-000030,ord-00025,2026-07-28,17201,settled
pay-000031,ord-00027,2026-07-06,17266,settled
pay-000032,ord-00028,2026-01-02,14532,settled
pay-000033,ord-00028,2026-01-03,14533,settled
pay-000034,ord-00029,2026-08-20,96768,settled
pay-000035,ord-00030,2026-09-16,33031,settled
pay-000036,ord-00031,2026-06-28,43960,settled
pay-000037,ord-00031,2026-06-29,43960,settled
pay-000038,ord-00032,2026-05-15,35814,settled
pay-000039,ord-00033,2026-07-22,11037,settled
pay-000040,ord-00034,2026-07-10,5683,settled
pay-000041,ord-00034,2026-07-11,5684,settled
pay-000042,ord-00035,2026-07-20,29408,pending
pay-000043,ord-00036,2026-05-09,45140,settled
pay-000044,ord-00037,2026-05-12,17262,settled
pay-000045,ord-00037,2026-05-13,17262,settled
pay-000046,ord-00038,2026-01-10,20909,settled
pay-000047,ord-00039,2026-09-14,69400,settled
pay-000048,ord-00040,2026-04-26,34654,settled
pay-000049,ord-00040,2026-04-27,34655,settled
pay-000050,ord-00041,2026-09-08,107832,settled
pay-000051,ord-00042,2026-05-06,73345,settled
pay-000052,ord-00043,2025-12-10,28054,settled
pay-000053,ord-00043,2025-12-11,28054,settled
pay-000054,ord-00044,2026-01-10,5986,pending
pay-000055,ord-00045,2026-06-27,22333,settled
pay-000056,ord-00046,2026-07-10,42258,settled
pay-000057,ord-00046,2026-07-11,42258,settled
