id,supplier_id,variant_id,ordered_qty,received_qty,unit_cost_cents,status,date,paid_cents
po-00001,sup-grip,var-sock-black-s,22,14,4200,partial,2025-09-25,58800
po-00002,sup-studio,var-sock-black-m,24,16,4200,partial,2025-09-26,67200
po-00003,sup-move,var-sock-black-l,28,19,4200,partial,2025-09-27,79800
po-00004,sup-grip,var-sock-ivory-s,43,29,4200,partial,2025-09-28,121800
po-00005,sup-studio,var-sock-ivory-m,32,21,4200,partial,2025-09-29,88200
po-00006,sup-move,var-sock-ivory-l,35,23,4200,partial,2025-09-30,96600
po-00007,sup-grip,var-sock-rose-s,32,22,4200,partial,2025-10-01,92400
po-00008,sup-studio,var-sock-rose-m,32,22,4200,partial,2025-10-02,92400
po-00009,sup-move,var-sock-rose-l,17,11,4200,partial,2025-10-03,46200
po-00010,sup-grip,var-sock-sage-s,32,21,4200,partial,2025-10-04,88200
po-00011,sup-studio,var-sock-sage-m,38,25,4200,partial,2025-10-05,105000
po-00012,sup-move,var-sock-sage-l,37,25,4200,partial,2025-10-06,105000
po-00013,sup-grip,var-sock-lilac-s,32,21,4200,partial,2025-10-07,88200
po-00014,sup-studio,var-sock-lilac-m,29,19,4200,partial,2025-10-08,79800
po-00015,sup-move,var-sock-lilac-l,29,20,4200,partial,2025-10-09,84000
po-00016,sup-grip,var-sock-coral-s,37,25,4200,partial,2025-10-10,105000
po-00017,sup-studio,var-sock-coral-m,23,15,4200,partial,2025-10-11,63000
po-00018,sup-move,var-sock-coral-l,23,15,4200,partial,2025-10-12,63000
po-00019,sup-grip,var-legging-black-s,12,8,11200,partial,2025-10-13,89600
po-00020,sup-studio,var-legging-black-m,20,14,11200,partial,2025-10-14,156800
po-00021,sup-move,var-legging-black-l,12,8,11200,partial,2025-10-15,89600
po-00022,sup-grip,var-legging-navy-s,12,8,11200,partial,2025-10-16,89600
po-00023,sup-studio,var-legging-navy-m,19,13,11200,partial,2025-10-17,145600
po-00024,sup-move,var-legging-navy-l,15,11,11200,partial,2025-09-25,123200
po-00025,sup-grip,var-legging-olive-s,12,8,11200,partial,2025-09-26,89600
po-00026,sup-studio,var-legging-olive-m,13,9,11200,partial,2025-09-27,100800
po-00027,sup-move,var-legging-olive-l,20,14,11200,partial,2025-09-28,156800
po-00028,sup-grip,var-top-black-s,21,15,8200,partial,2025-09-29,123000
po-00029,sup-studio,var-top-black-m,15,10,8200,partial,2025-09-30,82000
po-00030,sup-move,var-top-black-l,19,13,8200,partial,2025-10-01,106600
po-00031,sup-grip,var-top-sand-s,19,13,8200,partial,2025-10-02,106600
po-00032,sup-studio,var-top-sand-m,20,14,8200,partial,2025-10-03,114800
po-00033,sup-move,var-top-sand-l,17,11,8200,partial,2025-10-04,90200
po-00034,sup-grip,var-top-rose-s,12,8,8200,partial,2025-10-05,65600
po-00035,sup-studio,var-top-rose-m,20,14,8200,partial,2025-10-06,114800
po-00036,sup-move,var-top-rose-l,18,13,8200,partial,2025-10-07,106600
po-00037,sup-grip,var-short-black-s,12,8,7100,partial,2025-10-08,56800
po-00038,sup-studio,var-short-black-m,21,14,7100,partial,2025-10-09,99400
po-00039,sup-move,var-short-black-l,9,5,7100,partial,2025-10-10,35500
po-00040,sup-grip,var-short-coral-s,15,11,7100,partial,2025-10-11,78100
po-00041,sup-studio,var-short-coral-m,14,9,7100,partial,2025-10-12,63900
po-00042,sup-move,var-short-coral-l,16,11,7100,partial,2025-10-13,78100
po-00043,sup-grip,var-short-navy-s,17,12,7100,partial,2025-10-14,85200
po-00044,sup-studio,var-short-navy-m,18,13,7100,partial,2025-10-15,92300
po-00045,sup-move,var-short-navy-l,20,13,7100,partial,2025-10-16,92300
po-00046,sup-grip,var-wrap-sand-o-s,12,0,9800,in_transit,2025-10-17,0
