id,purchase_order_id,date,quantity
receipt-00001,po-00001,2025-09-29,7
receipt-00002,po-00001,2025-10-02,7
receipt-00003,po-00002,2025-09-30,16
receipt-00004,po-00003,2025-10-01,19
receipt-00005,po-00004,2025-10-02,29
receipt-00006,po-00005,2025-10-03,21
receipt-00007,po-00006,2025-10-04,11
receipt-00008,po-00006,2025-10-07,12
receipt-00009,po-00007,2025-10-05,22
receipt-00010,po-00008,2025-10-06,22
receipt-00011,po-00009,2025-10-07,11
receipt-00012,po-00010,2025-10-08,21
receipt-00013,po-00011,2025-10-09,12
receipt-00014,po-00011,2025-10-12,13
receipt-00015,po-00012,2025-10-10,25
receipt-00016,po-00013,2025-10-11,21
receipt-00017,po-00014,2025-10-12,19
receipt-00018,po-00015,2025-10-13,20
receipt-00019,po-00016,2025-10-14,12
receipt-00020,po-00016,2025-10-17,13
receipt-00021,po-00017,2025-10-15,15
receipt-00022,po-00018,2025-10-16,15
receipt-00023,po-00019,2025-10-17,8
receipt-00024,po-00020,2025-10-18,14
receipt-00025,po-00021,2025-10-19,4
receipt-00026,po-00021,2025-10-22,4
receipt-00027,po-00022,2025-10-20,8
receipt-00028,po-00023,2025-10-21,13
receipt-00029,po-00024,2025-09-29,11
receipt-00030,po-00025,2025-09-30,8
receipt-00031,po-00026,2025-10-01,4
receipt-00032,po-00026,2025-10-04,5
receipt-00033,po-00027,2025-10-02,14
receipt-00034,po-00028,2025-10-03,15
receipt-00035,po-00029,2025-10-04,10
receipt-00036,po-00030,2025-10-05,13
receipt-00037,po-00031,2025-10-06,6
receipt-00038,po-00031,2025-10-09,7
receipt-00039,po-00032,2025-10-07,14
receipt-00040,po-00033,2025-10-08,11
receipt-00041,po-00034,2025-10-09,8
receipt-00042,po-00035,2025-10-10,14
receipt-00043,po-00036,2025-10-11,6
receipt-00044,po-00036,2025-10-14,7
receipt-00045,po-00037,2025-10-12,8
receipt-00046,po-00038,2025-10-13,14
receipt-00047,po-00039,2025-10-14,5
receipt-00048,po-00040,2025-10-15,11
receipt-00049,po-00041,2025-10-16,4
receipt-00050,po-00041,2025-10-19,5
receipt-00051,po-00042,2025-10-17,11
receipt-00052,po-00043,2025-10-18,12
receipt-00053,po-00044,2025-10-19,13
receipt-00054,po-00045,2025-10-20,13
