id,order_id,date,amount_cents,status
refund-00001,ord-00001,2025-09-28,17606,settled
refund-00002,ord-00022,2026-01-23,17149,settled
refund-00003,ord-00043,2025-12-18,11370,settled
refund-00004,ord-00068,2026-06-05,19963,settled
refund-00005,ord-00086,2026-07-10,10731,settled
refund-00006,ord-00108,2025-11-02,14300,settled
refund-00007,ord-00130,2026-05-08,27526,settled
refund-00008,ord-00149,2026-04-16,10487,settled
refund-00009,ord-00168,2026-06-02,25968,settled
refund-00010,ord-00189,2026-03-13,18501,settled
refund-00011,ord-00206,2026-07-08,21015,settled
refund-00012,ord-00225,2026-03-11,11257,settled
refund-00013,ord-00251,2026-07-04,10447,settled
refund-00014,ord-00272,2026-05-06,16824,settled
refund-00015,ord-00292,2026-07-08,11582,settled
refund-00016,ord-00324,2025-12-29,17875,settled
refund-00017,ord-00342,2026-04-26,11204,settled
refund-00018,ord-00368,2026-05-24,9928,settled
refund-00019,ord-00383,2026-07-30,17021,settled
refund-00020,ord-00413,2026-06-04,16854,settled
refund-00021,ord-00430,2025-12-18,10381,settled
refund-00022,ord-00446,2026-07-21,21357,settled
refund-00023,ord-00461,2026-02-12,11620,settled
refund-00024,ord-00478,2026-08-22,9769,settled
refund-00025,ord-00499,2026-03-19,10118,settled
refund-00026,ord-00525,2026-09-06,15904,settled
refund-00027,ord-00542,2025-11-26,11296,settled
refund-00028,ord-00560,2026-08-17,27953,settled
refund-00029,ord-00579,2026-07-06,21366,settled
refund-00030,ord-00596,2026-02-17,10702,settled
refund-00031,ord-00622,2026-01-17,11087,settled
refund-00032,ord-00644,2026-03-20,10626,settled
refund-00033,ord-00662,2026-06-23,20712,settled
refund-00034,ord-00679,2026-08-29,11199,settled
refund-00035,ord-00698,2026-06-03,9057,settled
refund-00036,ord-00719,2026-05-21,11499,settled
refund-00037,ord-00730,2026-05-05,10452,settled
refund-00038,ord-00745,2026-08-25,10991,settled
refund-00039,ord-00761,2026-06-18,10308,settled
refund-00040,ord-00783,2026-07-04,24803,settled
refund-00041,ord-00803,2026-07-07,10952,settled
refund-00042,ord-00823,2026-03-17,10777,settled
refund-00043,ord-00840,2026-01-10,27908,settled
refund-00044,ord-00859,2026-02-13,24637,settled
refund-00045,ord-00879,2026-08-25,17857,settled
refund-00046,ord-00898,2026-07-17,15555,settled
refund-00047,ord-00919,2026-08-03,8917,settled
refund-00048,ord-00940,2026-06-29,20061,settled
refund-00049,ord-00956,2026-06-12,10780,settled
refund-00050,ord-00973,2026-05-08,25419,settled
refund-00051,ord-00993,2026-01-30,10610,settled
refund-00052,ord-01008,2026-04-13,13806,settled
refund-00053,ord-01030,2026-06-07,10860,settled
refund-00054,ord-01050,2026-09-04,9676,settled
refund-00055,ord-01069,2025-12-15,11510,settled
refund-00056,ord-01089,2025-12-21,9602,settled
refund-00057,ord-01112,2025-12-30,28335,settled
refund-00058,ord-01129,2026-04-20,18365,settled
refund-00059,ord-01151,2026-09-03,11379,settled
refund-00060,ord-01173,2026-09-12,22190,settled
refund-00061,ord-01195,2026-08-26,11115,settled
