id,order_item_id,quantity,status
reservation-000001,item-000001,2,released
reservation-000002,item-000002,3,released
reservation-000003,item-000003,1,released
reservation-000004,item-000004,3,released
reservation-000005,item-000005,1,released
reservation-000006,item-000006,2,active
reservation-000007,item-000007,1,active
reservation-000008,item-000008,1,released
reservation-000009,item-000009,2,released
reservation-000010,item-000010,2,active
reservation-000011,item-000011,2,released
reservation-000012,item-000012,2,released
reservation-000013,item-000013,3,released
reservation-000014,item-000014,1,released
reservation-000015,item-000015,3,released
reservation-000016,item-000016,1,released
reservation-000017,item-000017,3,active
reservation-000018,item-000018,2,released
reservation-000019,item-000019,1,active
reservation-000020,item-000020,3,released
reservation-000021,item-000021,3,released
reservation-000022,item-000022,1,released
reservation-000023,item-000023,1,released
reservation-000024,item-000024,2,released
reservation-000025,item-000025,2,released
reservation-000026,item-000026,2,released
reservation-000027,item-000027,2,released
reservation-000028,item-000028,3,released
reservation-000029,item-000029,2,released
reservation-000030,item-000030,1,released
reservation-000031,item-000031,1,released
reservation-000032,item-000032,3,released
reservation-000033,item-000033,3,released
reservation-000034,item-000034,1,active
reservation-000035,item-000035,3,released
reservation-000036,item-000036,1,released
reservation-000037,item-000037,2,released
reservation-000038,item-000038,1,released
reservation-000039,item-000039,1,released
reservation-000040,item-000040,1,released
reservation-000041,item-000041,1,released
reservation-000042,item-000042,3,released
reservation-000043,item-000043,3,released
reservation-000044,item-000044,3,released
reservation-000045,item-000045,2,released
reservation-000046,item-000046,3,released
reservation-000047,item-000047,2,released
reservation-000048,item-000048,1,active
reservation-000049,item-000049,1,released
reservation-000050,item-000050,3,active
reservation-000051,item-000051,2,active
reservation-000052,item-000052,3,active
reservation-000053,item-000053,2,released
reservation-000054,item-000054,2,released
reservation-000055,item-000055,3,released
reservation-000056,item-000056,1,released
reservation-000057,item-000057,3,released
reservation-000058,item-000058,2,released
reservation-000059,item-000059,2,released
reservation-000060,item-000060,1,released
reservation-000061,item-000061,2,released
reservation-000062,item-000062,3,released
reservation-000063,item-000063,3,released
reservation-000064,item-000064,1,released
reservation-000065,item-000065,2,released
reservation-000066,item-000066,3,released
reservation-000067,item-000067,1,active
reservation-000068,item-000068,2,released
reservation-000069,item-000069,3,released
reservation-000070,item-000070,1,released
reservation-000071,item-000071,3,released
reservation-000072,item-000072,3,released
reservation-000073,item-000073,2,released
reservation-000074,item-000074,1,released
reservation-000075,item-000075,2,active
reservation-000076,item-000076,3,active
reservation-000077,item-000077,3,active
reservation-000078,item-000078,1,released
reservation-000079,item-000079,3,released
reservation-000080,item-000080,2,active
reservation-000081,item-000081,1,released
reservation-000082,item-000082,2,active
reservation-000083,item-000083,1,released
reservation-000084,item-000084,3,released
reservation-000085,item-000085,2,active
reservation-000086,item-000086,3,active
reservation-000087,item-000087,1,released
reservation-000088,item-000088,2,released
reservation-000089,item-000089,2,released
reservation-000090,item-000090,1,released
reservation-000091,item-000091,2,released
reservation-000092,item-000092,1,released
reservation-000093,item-000093,1,released
reservation-000094,item-000094,2,released
reservation-000095,item-000095,1,released
reservation-000096,item-000096,1,released
reservation-000097,item-000097,1,released
reservation-000098,item-000098,2,released
reservation-000099,item-000099,1,released
reservation-000100,item-000100,3,released
reservation-000101,item-000101,3,released
reservation-000102,item-000102,3,released
reservation-000103,item-000103,1,released
reservation-000104,item-000104,1,released
reservation-000105,item-000105,3,released
reservation-000106,item-000106,3,released
reservation-000107,item-000107,1,released
reservation-000108,item-000108,3,active
reservation-000109,item-000109,2,released
reservation-000110,item-000110,3,released
reservation-000111,item-000111,2,active
reservation-000112,item-000112,2,active
reservation-000113,item-000113,1,active
reservation-000114,item-000114,1,released
reservation-000115,item-000115,3,released
reservation-000116,item-000116,1,released
reservation-000117,item-000117,2,released
reservation-000118,item-000118,1,active
reservation-000119,item-000119,1,active
reservation-000120,item-000120,1,released
reservation-000121,item-000121,3,released
reservation-000122,item-000122,3,active
reservation-000123,item-000123,1,active
reservation-000124,item-000124,1,released
reservation-000125,item-000125,3,released
reservation-000126,item-000126,3,released
reservation-000127,item-000127,2,released
reservation-000128,item-000128,2,released
reservation-000129,item-000129,3,released
reservation-000130,item-000130,1,released
reservation-000131,item-000131,3,released
reservation-000132,item-000132,2,active
reservation-000133,item-000133,2,released
reservation-000134,item-000134,3,released
reservation-000135,item-000135,2,released
reservation-000136,item-000136,3,released
reservation-000137,item-000137,2,released
reservation-000138,item-000138,3,released
reservation-000139,item-000139,3,active
reservation-000140,item-000140,2,active
reservation-000141,item-000141,3,released
reservation-000142,item-000142,1,released
reservation-000143,item-000143,2,released
reservation-000144,item-000144,3,released
reservation-000145,item-000145,2,released
reservation-000146,item-000146,1,released
reservation-000147,item-000147,3,released
reservation-000148,item-000148,2,released
reservation-000149,item-000149,2,released
reservation-000150,item-000150,3,released
reservation-000151,item-000151,2,released
reservation-000152,item-000152,2,released
reservation-000153,item-000153,2,active
reservation-000154,item-000154,2,active
reservation-000155,item-000155,3,active
reservation-000156,item-000156,1,released
reservation-000157,item-000157,2,released
reservation-000158,item-000158,3,released
reservation-000159,item-000159,3,released
reservation-000160,item-000160,3,released
reservation-000161,item-000161,2,released
reservation-000162,item-000162,1,released
reservation-000163,item-000163,3,released
reservation-000164,item-000164,2,released
reservation-000165,item-000165,1,released
reservation-000166,item-000166,1,released
reservation-000167,item-000167,3,active
reservation-000168,item-000168,3,released
reservation-000169,item-000169,2,released
reservation-000170,item-000170,2,released
reservation-000171,item-000171,2,released
reservation-000172,item-000172,2,active
reservation-000173,item-000173,1,active
reservation-000174,item-000174,3,released
reservation-000175,item-000175,1,released
reservation-000176,item-000176,1,released
reservation-000177,item-000177,1,released
reservation-000178,item-000178,3,released
