id,order_item_id,date,quantity,restock
return-00001,item-000001,2025-09-28,1,1
return-00002,item-000033,2026-01-23,1,0
return-00003,item-000065,2025-12-18,1,1
return-00004,item-000097,2026-06-05,1,0
return-00005,item-000127,2026-07-10,1,1
return-00006,item-000160,2025-11-02,1,0
return-00007,item-000194,2026-05-08,1,1
return-00008,item-000222,2026-04-16,1,0
return-00009,item-000255,2026-06-02,1,1
return-00010,item-000289,2026-03-13,1,0
return-00011,item-000314,2026-07-08,1,1
return-00012,item-000342,2026-03-11,1,0
return-00013,item-000380,2026-07-04,1,1
return-00014,item-000413,2026-05-06,1,0
return-00015,item-000441,2026-07-08,1,1
return-00016,item-000480,2025-12-29,1,0
return-00017,item-000511,2026-04-26,1,1
return-00018,item-000546,2026-05-24,1,0
return-00019,item-000569,2026-07-30,1,1
return-00020,item-000608,2026-06-04,1,0
return-00021,item-000633,2025-12-18,1,1
return-00022,item-000659,2026-07-21,1,0
return-00023,item-000682,2026-02-12,1,1
return-00024,item-000705,2026-08-22,1,0
return-00025,item-000737,2026-03-19,1,1
return-00026,item-000774,2026-09-06,1,0
return-00027,item-000799,2025-11-26,1,1
return-00028,item-000826,2026-08-17,1,0
return-00029,item-000852,2026-07-06,1,1
return-00030,item-000879,2026-02-17,1,0
return-00031,item-000919,2026-01-17,1,1
return-00032,item-000951,2026-03-20,1,0
return-00033,item-000980,2026-06-23,1,1
return-00034,item-001005,2026-08-29,1,0
return-00035,item-001035,2026-06-03,1,1
return-00036,item-001068,2026-05-21,1,0
return-00037,item-001088,2026-05-05,1,1
return-00038,item-001112,2026-08-25,1,0
return-00039,item-001139,2026-06-18,1,1
return-00040,item-001170,2026-07-04,1,0
return-00041,item-001202,2026-07-07,1,1
return-00042,item-001234,2026-03-17,1,0
return-00043,item-001261,2026-01-10,1,1
return-00044,item-001290,2026-02-13,1,0
return-00045,item-001321,2026-08-25,1,1
return-00046,item-001348,2026-07-17,1,0
return-00047,item-001381,2026-08-03,1,1
return-00048,item-001412,2026-06-29,1,0
return-00049,item-001436,2026-06-12,1,1
return-00050,item-001463,2026-05-08,1,0
return-00051,item-001494,2026-01-30,1,1
return-00052,item-001520,2026-04-13,1,0
return-00053,item-001551,2026-06-07,1,1
return-00054,item-001579,2026-09-04,1,0
return-00055,item-001607,2025-12-15,1,1
return-00056,item-001636,2025-12-21,1,0
return-00057,item-001671,2025-12-30,1,1
return-00058,item-001699,2026-04-20,1,0
return-00059,item-001729,2026-09-03,1,1
return-00060,item-001762,2026-09-12,1,0
return-00061,item-001797,2026-08-26,1,1
