id,customer_id,channel,campaign_id,date,content_asset_id
session-00001,cust-0001,Instagram,camp-studio,2025-09-22,asset-01
session-00002,cust-0002,Instagram,camp-studio,2025-09-22,asset-01
session-00003,cust-0003,Organic,organic,2025-09-22,asset-04
session-00004,cust-0004,Paid Social,camp-move,2025-09-22,asset-02
session-00005,cust-0005,Instagram,camp-studio,2025-09-22,asset-01
session-00006,cust-0006,Organic,organic,2026-08-15,asset-04
session-00007,cust-0007,Instagram,camp-studio,2026-09-16,asset-01
session-00008,cust-0008,Instagram,camp-studio,2026-01-15,asset-01
session-00009,cust-0009,Organic,organic,2026-02-09,asset-04
session-00010,cust-0010,Instagram,camp-studio,2026-07-11,asset-01
session-00011,cust-0011,Organic,organic,2026-01-14,asset-04
session-00012,cust-0012,Instagram,camp-studio,2026-06-03,asset-01
session-00013,cust-0013,DM,camp-private,2026-04-04,asset-03
session-00014,cust-0014,Paid Social,camp-move,2026-09-03,asset-02
session-00015,cust-0015,DM,camp-private,2026-06-28,asset-03
session-00016,cust-0016,DM,camp-private,2026-05-20,asset-03
session-00017,cust-0017,Paid Social,camp-move,2026-07-21,asset-02
session-00018,cust-0018,Paid Social,camp-move,2026-09-08,asset-02
session-00019,cust-0019,Paid Social,camp-move,2026-06-29,asset-02
session-00020,cust-0020,Paid Social,camp-move,2026-06-14,asset-02
session-00021,cust-0021,Instagram,camp-studio,2026-09-10,asset-01
session-00022,cust-0022,Organic,organic,2026-01-11,asset-04
session-00023,cust-0023,Organic,organic,2026-06-24,asset-04
session-00024,cust-0024,DM,camp-private,2026-08-25,asset-03
session-00025,cust-0025,DM,camp-private,2026-07-27,asset-03
session-00026,cust-0026,Instagram,camp-studio,2026-04-03,asset-01
session-00027,cust-0027,Organic,organic,2026-07-06,asset-04
session-00028,cust-0028,Organic,organic,2026-01-01,asset-04
session-00029,cust-0029,Organic,organic,2026-08-20,asset-04
session-00030,cust-0030,DM,camp-private,2026-09-16,asset-03
session-00031,cust-0031,Paid Social,camp-move,2026-06-28,asset-02
session-00032,cust-0032,DM,camp-private,2026-05-14,asset-03
session-00033,cust-0033,Instagram,camp-studio,2026-07-20,asset-01
session-00034,cust-0034,DM,camp-private,2026-07-07,asset-03
session-00035,cust-0035,Instagram,camp-studio,2026-07-20,asset-01
session-00036,cust-0036,Organic,organic,2026-05-04,asset-04
session-00037,cust-0037,Instagram,camp-studio,2026-05-12,asset-01
session-00038,cust-0038,DM,camp-private,2026-01-09,asset-03
session-00039,cust-0039,Instagram,camp-studio,2026-09-14,asset-01
session-00040,cust-0040,Paid Social,camp-move,2026-04-26,asset-02
session-00041,cust-0041,Instagram,camp-studio,2026-09-04,asset-01
