id,purchase_order_id,date,amount_cents
supplier-pay-00001,po-00001,2025-10-01,29400
supplier-pay-00002,po-00001,2025-10-03,29400
supplier-pay-00003,po-00002,2025-10-02,67200
supplier-pay-00004,po-00003,2025-10-03,79800
supplier-pay-00005,po-00004,2025-10-04,121800
supplier-pay-00006,po-00005,2025-10-05,44100
supplier-pay-00007,po-00005,2025-10-07,44100
supplier-pay-00008,po-00006,2025-10-06,96600
supplier-pay-00009,po-00007,2025-10-07,92400
supplier-pay-00010,po-00008,2025-10-08,92400
supplier-pay-00011,po-00009,2025-10-09,23100
supplier-pay-00012,po-00009,2025-10-11,23100
supplier-pay-00013,po-00010,2025-10-10,88200
supplier-pay-00014,po-00011,2025-10-11,105000
supplier-pay-00015,po-00012,2025-10-12,105000
supplier-pay-00016,po-00013,2025-10-13,44100
supplier-pay-00017,po-00013,2025-10-15,44100
supplier-pay-00018,po-00014,2025-10-14,79800
supplier-pay-00019,po-00015,2025-10-15,84000
supplier-pay-00020,po-00016,2025-10-16,105000
supplier-pay-00021,po-00017,2025-10-17,31500
supplier-pay-00022,po-00017,2025-10-19,31500
supplier-pay-00023,po-00018,2025-10-18,63000
supplier-pay-00024,po-00019,2025-10-19,89600
supplier-pay-00025,po-00020,2025-10-20,156800
supplier-pay-00026,po-00021,2025-10-21,44800
supplier-pay-00027,po-00021,2025-10-23,44800
supplier-pay-00028,po-00022,2025-10-22,89600
supplier-pay-00029,po-00023,2025-10-23,145600
supplier-pay-00030,po-00024,2025-10-01,123200
supplier-pay-00031,po-00025,2025-10-02,44800
supplier-pay-00032,po-00025,2025-10-04,44800
supplier-pay-00033,po-00026,2025-10-03,100800
supplier-pay-00034,po-00027,2025-10-04,156800
supplier-pay-00035,po-00028,2025-10-05,123000
supplier-pay-00036,po-00029,2025-10-06,41000
supplier-pay-00037,po-00029,2025-10-08,41000
supplier-pay-00038,po-00030,2025-10-07,106600
supplier-pay-00039,po-00031,2025-10-08,106600
supplier-pay-00040,po-00032,2025-10-09,114800
supplier-pay-00041,po-00033,2025-10-10,45100
supplier-pay-00042,po-00033,2025-10-12,45100
supplier-pay-00043,po-00034,2025-10-11,65600
supplier-pay-00044,po-00035,2025-10-12,114800
supplier-pay-00045,po-00036,2025-10-13,106600
supplier-pay-00046,po-00037,2025-10-14,28400
supplier-pay-00047,po-00037,2025-10-16,28400
supplier-pay-00048,po-00038,2025-10-15,99400
supplier-pay-00049,po-00039,2025-10-16,35500
supplier-pay-00050,po-00040,2025-10-17,78100
supplier-pay-00051,po-00041,2025-10-18,31950
supplier-pay-00052,po-00041,2025-10-20,31950
supplier-pay-00053,po-00042,2025-10-19,78100
supplier-pay-00054,po-00043,2025-10-20,85200
supplier-pay-00055,po-00044,2025-10-21,92300
supplier-pay-00056,po-00045,2025-10-22,46150
supplier-pay-00057,po-00045,2025-10-24,46150
