id,product_id,size,color,price_cents,cost_cents
var-sock-black-s,prod-socks,S,Black,11900,4200
var-sock-black-m,prod-socks,M,Black,11900,4200
var-sock-black-l,prod-socks,L,Black,11900,4200
var-sock-ivory-s,prod-socks,S,Ivory,11900,4200
var-sock-ivory-m,prod-socks,M,Ivory,11900,4200
var-sock-ivory-l,prod-socks,L,Ivory,11900,4200
var-sock-rose-s,prod-socks,S,Rose,11900,4200
var-sock-rose-m,prod-socks,M,Rose,11900,4200
var-sock-rose-l,prod-socks,L,Rose,11900,4200
var-sock-sage-s,prod-socks,S,Sage,11900,4200
var-sock-sage-m,prod-socks,M,Sage,11900,4200
var-sock-sage-l,prod-socks,L,Sage,11900,4200
var-sock-lilac-s,prod-socks,S,Lilac,11900,4200
var-sock-lilac-m,prod-socks,M,Lilac,11900,4200
var-sock-lilac-l,prod-socks,L,Lilac,11900,4200
var-sock-coral-s,prod-socks,S,Coral,11900,4200
var-sock-coral-m,prod-socks,M,Coral,11900,4200
var-sock-coral-l,prod-socks,L,Coral,11900,4200
var-legging-black-s,prod-leggings,S,Black,29900,11200
var-legging-black-m,prod-leggings,M,Black,29900,11200
var-legging-black-l,prod-leggings,L,Black,29900,11200
var-legging-navy-s,prod-leggings,S,Navy,29900,11200
var-legging-navy-m,prod-leggings,M,Navy,29900,11200
var-legging-navy-l,prod-leggings,L,Navy,29900,11200
var-legging-olive-s,prod-leggings,S,Olive,29900,11200
var-legging-olive-m,prod-leggings,M,Olive,29900,11200
var-legging-olive-l,prod-leggings,L,Olive,29900,11200
var-top-black-s,prod-tops,S,Black,21900,8200
var-top-black-m,prod-tops,M,Black,21900,8200
var-top-black-l,prod-tops,L,Black,21900,8200
var-top-sand-s,prod-tops,S,Sand,21900,8200
var-top-sand-m,prod-tops,M,Sand,21900,8200
var-top-sand-l,prod-tops,L,Sand,21900,8200
var-top-rose-s,prod-tops,S,Rose,21900,8200
var-top-rose-m,prod-tops,M,Rose,21900,8200
var-top-rose-l,prod-tops,L,Rose,21900,8200
var-short-black-s,prod-shorts,S,Black,18900,7100
var-short-black-m,prod-shorts,M,Black,18900,7100
var-short-black-l,prod-shorts,L,Black,18900,7100
var-short-coral-s,prod-shorts,S,Coral,18900,7100
var-short-coral-m,prod-shorts,M,Coral,18900,7100
var-short-coral-l,prod-shorts,L,Coral,18900,7100
var-short-navy-s,prod-shorts,S,Navy,18900,7100
var-short-navy-m,prod-shorts,M,Navy,18900,7100
var-short-navy-l,prod-shorts,L,Navy,18900,7100
var-wrap-sand-o-s,prod-wrap,O/S,Sand,25900,9800
